,accuracy_diff_4.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,rank_total,rank_fin
HJURP.rescaled,5315.5,5268.5,354.5,206.5,166.0,215.0,138.0,30.0,11694.0,0.9047011873023232
TMPRSS2.rescaled,540.0,10450.5,354.5,158.0,48.0,106.0,50.0,44.0,11751.0,0.9042292470483037
CDCA5.rescaled,264.0,270.5,152.0,158.0,957.0,8424.0,509.0,1026.0,11760.5,0.9041505903393002
GLYAT.rescaled,76.0,90.5,10433.5,58.5,186.0,275.0,349.0,310.0,11778.5,0.9040015565748728
TROAP.rescaled,362.5,130.0,40.0,11279.5,25.0,17.0,81.0,29.0,11964.0,0.9024656808359138
EPSTI1.rescaled,264.0,5268.5,263.0,371.0,1933.0,1453.0,1358.0,1061.0,11971.5,0.9024035834340692
FAM171B.rescaled,5315.5,354.5,5267.5,550.0,156.0,150.0,149.0,130.0,12072.5,0.9015673384225604
CIT.rescaled,5315.5,533.5,524.5,5315.5,84.0,56.0,93.0,154.0,12076.0,0.9015383596350328
OAS2.rescaled,5315.5,533.5,524.5,371.0,596.0,850.0,1404.0,2509.0,12103.5,0.9013106691616024
LGALS8.rescaled,5315.5,533.5,5267.5,371.0,130.0,156.0,159.0,225.0,12157.5,0.9008635678683204
LTF.rescaled,10495.0,213.5,524.5,550.0,80.0,103.0,88.0,129.0,12183.0,0.9006524367020484
PCDHA11.rescaled,540.0,270.5,10433.5,277.0,235.0,194.0,245.0,41.0,12236.0,0.9002136150623458
LEP.rescaled,172.0,409.0,9890.0,426.0,362.0,443.0,386.0,284.0,12372.0,0.8990875821755617
ZACN.rescaled,93.0,90.5,73.0,76.5,2109.0,2658.0,2632.0,4740.0,12472.0,0.8982596168176323
APLP1.rescaled,5315.5,533.5,5267.5,550.0,269.0,243.0,242.0,292.0,12712.5,0.8962683601318121
FAM157A.rescaled,118.0,213.5,263.0,158.0,4513.0,1861.0,3002.0,2657.0,12785.5,0.8956639454205236
MED19.rescaled,540.0,5268.5,354.5,371.0,1120.0,1545.0,1776.0,1837.0,12812.0,0.8954445346006723
FLRT3.rescaled,197.0,73.0,96.5,102.5,8417.0,1870.0,1279.0,793.0,12828.0,0.8953120601434036
BTC.rescaled,197.0,5268.5,354.5,550.0,1550.0,1600.0,1951.0,1499.0,12970.0,0.8941363493351439
NEIL3.rescaled,362.5,11811.0,354.5,371.0,8.0,22.0,32.0,10.0,12971.0,0.8941280696815646
