,accuracy_diff_4.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,rank_total,rank_fin
BCS1L.rescaled,5315.5,5268.5,5267.5,5315.5,9302.0,8692.0,8564.0,8607.0,56332.0,0.5351140108297869
UBE2D1.rescaled,5315.5,5268.5,5267.5,5315.5,8788.0,8637.0,8911.0,8831.0,56334.0,0.5350974515226283
APBB1IP.rescaled,5315.5,5268.5,5267.5,5315.5,9058.0,9985.0,5407.0,10718.0,56335.0,0.5350891718690489
UHMK1.rescaled,5315.5,5268.5,5267.5,5315.5,8613.0,9103.0,9388.0,8068.0,56339.0,0.5350560532547318
DUT.rescaled,5315.5,5268.5,5267.5,5315.5,8954.0,9561.0,8855.0,7806.0,56343.0,0.5350229346404147
ZNF235.rescaled,5315.5,5268.5,5267.5,5315.5,8858.0,8915.0,9304.0,8099.0,56343.0,0.5350229346404147
FASTKD2.rescaled,12922.5,12710.0,11275.5,12903.5,1829.0,1792.0,1362.0,1552.0,56346.5,0.5349939558528871
CPEB3.rescaled,5315.5,5268.5,5267.5,5315.5,6323.0,10059.0,8148.0,10650.0,56347.0,0.5349898160260975
BAIAP2L2.rescaled,5315.5,5268.5,5267.5,5315.5,9012.0,7645.0,9276.0,9248.0,56348.0,0.5349815363725181
ACTL6A.rescaled,5315.5,5268.5,5267.5,5315.5,8548.0,8606.0,9082.0,8945.0,56348.0,0.5349815363725181
KLHL34.rescaled,10495.0,5268.5,11275.5,10462.0,4561.0,5230.0,4392.0,4668.0,56352.0,0.534948417758201
ARMC6.rescaled,5315.5,5268.5,5267.5,5315.5,8977.0,8672.0,9032.0,8507.0,56355.0,0.5349235787974631
PPM1F.rescaled,11804.0,12458.0,12155.5,12691.5,1578.0,1832.0,2188.0,1652.0,56359.0,0.5348904601831459
WNT6.rescaled,5315.5,5268.5,5267.5,5315.5,8350.0,9353.0,8111.0,9380.0,56361.0,0.5348739008759873
COL28A1.rescaled,5315.5,5268.5,5267.5,5315.5,8904.0,8229.0,8920.0,9143.0,56363.0,0.5348573415688287
CD300LG.rescaled,13868.0,12168.0,13450.5,12691.5,1492.0,1014.0,968.0,713.0,56365.0,0.5348407822616701
PPIL2.rescaled,5315.5,5268.5,5267.5,5315.5,8912.0,9180.0,8608.0,8500.0,56367.0,0.5348242229545116
PHYHIPL.rescaled,13120.5,12168.0,12442.0,12691.5,1420.0,1288.0,1711.0,1535.0,56376.0,0.5347497060722979
CPNE2.rescaled,5315.5,5268.5,5267.5,5315.5,7985.0,9377.0,8841.0,9006.0,56376.0,0.5347497060722979
ASB2.rescaled,5315.5,5268.5,5267.5,5315.5,8505.0,8765.0,9257.0,8683.0,56377.0,0.5347414264187187
C11orf91.rescaled,5315.5,11316.5,10433.5,11804.5,4533.0,4327.0,3989.0,4667.0,56386.0,0.534666909536505
NBPF1.rescaled,12456.0,12928.0,12701.5,12455.5,816.0,1753.0,1125.0,2152.0,56387.0,0.5346586298829257
GFRAL.rescaled,14116.5,13455.0,13600.5,13738.5,412.0,524.0,264.0,279.0,56389.5,0.5346379307489775
CCKBR.rescaled,362.5,5268.5,263.0,371.0,11903.0,12027.0,12708.0,13488.0,56391.0,0.5346255112686085
ABCA2.rescaled,11804.0,10450.5,5267.5,11804.5,2338.0,4301.0,5716.0,4716.0,56397.5,0.5345716935203431
PTGS2.rescaled,13120.5,14348.5,14223.5,13602.0,276.0,270.0,261.0,296.0,56397.5,0.5345716935203431
MED18.rescaled,21.0,90.5,31.5,24.0,14286.0,14177.0,14195.0,13577.0,56402.0,0.5345344350792363
ARHGEF25.rescaled,5315.5,5268.5,5267.5,5315.5,8750.0,8151.0,8731.0,9608.0,56407.0,0.5344930368113399
VWC2.rescaled,11311.0,10450.5,11275.5,11279.5,3703.0,2604.0,2747.0,3038.0,56408.5,0.5344806173309709
EXOSC7.rescaled,5315.5,5268.5,5267.5,5315.5,9020.0,7924.0,9775.0,8530.0,56416.0,0.5344185199291261
PTX4.rescaled,5315.5,5268.5,5267.5,5315.5,9771.0,8665.0,8514.0,8300.0,56417.0,0.5344102402755468
EEF1A2.rescaled,14116.5,14004.5,14223.5,13872.5,35.0,70.0,63.0,33.0,56418.0,0.5344019606219677
IFT172.rescaled,5315.5,5268.5,5267.5,5315.5,9839.0,9053.0,7651.0,8710.0,56420.0,0.534385401314809
AHNAK2.rescaled,5315.5,5268.5,5267.5,5315.5,8901.0,8463.0,9860.0,8032.0,56423.0,0.534360562354071
NUDT19.rescaled,5315.5,5268.5,5267.5,5315.5,8908.0,8326.0,9540.0,8486.0,56427.0,0.5343274437397539
DPY19L2.rescaled,5315.5,5268.5,5267.5,5315.5,8338.0,6505.0,10384.0,10035.0,56429.0,0.5343108844325953
DRP2.rescaled,5315.5,5268.5,5267.5,5315.5,9093.0,8885.0,8319.0,8965.0,56429.0,0.5343108844325953
VDAC3.rescaled,5315.5,5268.5,5267.5,5315.5,9279.0,8913.0,8269.0,8804.0,56432.0,0.5342860454718574
NID2.rescaled,5315.5,5268.5,5267.5,5315.5,7116.0,9929.0,8173.0,10050.0,56435.0,0.5342612065111196
MSL1.rescaled,5315.5,5268.5,5267.5,5315.5,8898.0,8537.0,9248.0,8591.0,56441.0,0.5342115285896438
SEC22B.rescaled,5315.5,5268.5,5267.5,5315.5,8506.0,8958.0,8681.0,9132.0,56444.0,0.5341866896289059
SERPINB2.rescaled,5315.5,5268.5,5267.5,5315.5,8460.0,8410.0,8129.0,10279.0,56445.0,0.5341784099753266
MCM6.rescaled,5315.5,5268.5,5267.5,5315.5,11230.0,9122.0,3420.0,11510.0,56449.0,0.5341452913610094
PTPRR.rescaled,5315.5,5268.5,5267.5,5315.5,9041.0,8769.0,8352.0,9123.0,56452.0,0.5341204524002716
RFX8.rescaled,13120.5,12928.0,12935.0,13093.5,988.0,1098.0,1012.0,1277.0,56452.0,0.5341204524002716
CALN1.rescaled,11804.0,12928.0,13600.5,12903.5,1121.0,1470.0,967.0,1662.0,56456.0,0.5340873337859544
TRIM32.rescaled,5315.5,5268.5,5267.5,5315.5,9143.0,9307.0,8885.0,7960.0,56462.0,0.5340376558644786
ZNF385D.rescaled,5315.5,5268.5,5267.5,5315.5,7654.0,9886.0,8424.0,9334.0,56465.0,0.5340128169037408
PDCD11.rescaled,5315.5,5268.5,5267.5,5315.5,9905.0,6805.0,11879.0,6716.0,56472.0,0.5339548593286857
CALCOCO1.rescaled,5315.5,5268.5,5267.5,5315.5,10182.0,8006.0,6786.0,10334.0,56475.0,0.5339300203679478
VAMP5.rescaled,11804.0,11811.0,13293.0,5315.5,3953.0,4388.0,2713.0,3206.0,56483.5,0.5338596433125238
TNNC1.rescaled,5315.5,5268.5,5267.5,5315.5,9265.0,8852.0,8526.0,8688.0,56498.0,0.533739588335624
P4HA1.rescaled,5315.5,5268.5,263.0,550.0,11768.0,12346.0,12257.0,8732.0,56500.0,0.5337230290284655
CHCHD10.rescaled,10495.0,12168.0,10433.5,11804.5,2087.0,2575.0,3428.0,3512.0,56503.0,0.5336981900677276
MRPS14.rescaled,11804.0,12458.0,12442.0,11804.5,1557.0,2663.0,3051.0,725.0,56504.5,0.5336857705873586
SYTL3.rescaled,5315.5,11316.5,10433.5,10462.0,5282.0,4524.0,4483.0,4688.0,56504.5,0.5336857705873586
TAC1.rescaled,13731.5,13455.0,13600.5,14210.5,534.0,333.0,359.0,282.0,56505.5,0.5336774909337794
TNIP1.rescaled,5315.5,5268.5,10433.5,5315.5,9387.0,7258.0,6310.0,7219.0,56507.0,0.5336650714534104
NGDN.rescaled,5315.5,5268.5,5267.5,5315.5,8396.0,8422.0,9013.0,9510.0,56508.0,0.5336567917998312
THEM5.rescaled,5315.5,5268.5,5267.5,5315.5,9068.0,10271.0,8492.0,7514.0,56512.0,0.533623673185514
CENPQ.rescaled,5315.5,5268.5,5267.5,5315.5,9853.0,9452.0,9635.0,6408.0,56515.0,0.533598834224776
CD63.rescaled,10495.0,5268.5,5267.5,10462.0,6354.0,6042.0,6665.0,5963.0,56517.0,0.5335822749176174
PHC1.rescaled,5315.5,5268.5,5267.5,5315.5,9668.0,8542.0,9839.0,7301.0,56517.0,0.5335822749176174
GMDS.rescaled,12708.5,13115.5,12701.5,13093.5,1381.0,1243.0,1043.0,1232.0,56518.0,0.5335739952640381
TMEM131.rescaled,5315.5,5268.5,5267.5,5315.5,8638.0,9115.0,8850.0,8752.0,56522.0,0.5335408766497209
SLC35A5.rescaled,5315.5,5268.5,5267.5,5315.5,8781.0,8588.0,9114.0,8877.0,56527.0,0.5334994783818245
URB1.rescaled,5315.5,5268.5,5267.5,5315.5,8766.0,8780.0,9023.0,8796.0,56532.0,0.533458080113928
RAB40AL.rescaled,540.0,354.5,5267.5,5315.5,11232.0,11426.0,10068.0,12333.0,56536.5,0.5334208216728212
LRRC49.rescaled,5315.5,5268.5,5267.5,5315.5,7964.0,8520.0,9274.0,9614.0,56539.0,0.5334001225388729
CLCF1.rescaled,5315.5,5268.5,5267.5,5315.5,8975.0,9346.0,9761.0,7294.0,56543.0,0.5333670039245557
TYMP.rescaled,5315.5,5268.5,5267.5,5315.5,8709.0,8646.0,9784.0,8237.0,56543.0,0.5333670039245557
GRIK1.rescaled,12456.0,12710.0,12442.0,12691.5,2636.0,1351.0,868.0,1389.0,56543.5,0.5333628640977661
MAGEE1.rescaled,5315.5,5268.5,5267.5,5315.5,8793.0,9356.0,8665.0,8565.0,56546.0,0.5333421649638179
NCKIPSD.rescaled,5315.5,5268.5,5267.5,5315.5,8090.0,9596.0,7695.0,9999.0,56547.0,0.5333338853102386
CENPBD1.rescaled,10495.0,11316.5,5267.5,10462.0,5205.0,5134.0,5143.0,3525.0,56548.0,0.5333256056566593
MNS1.rescaled,10495.0,10450.5,5267.5,10462.0,2600.0,1875.0,6684.0,8716.0,56550.0,0.5333090463495007
C3orf80.rescaled,12161.0,13115.5,11785.5,13454.0,1346.0,1314.0,2303.0,1072.0,56551.0,0.5333007666959215
RBMS2.rescaled,5315.5,5268.5,5267.5,5315.5,8588.0,8603.0,9675.0,8520.0,56553.0,0.5332842073887629
TSN.rescaled,5315.5,10450.5,5267.5,5315.5,7863.0,6365.0,8288.0,7691.0,56556.0,0.5332593684280249
MYBPH.rescaled,5315.5,5268.5,5267.5,5315.5,8707.0,8602.0,9323.0,8762.0,56561.0,0.5332179701601285
NSMAF.rescaled,5315.5,5268.5,5267.5,5315.5,9331.0,8984.0,8485.0,8596.0,56563.0,0.5332014108529699
HP.rescaled,12708.5,12710.0,12701.5,11804.5,2101.0,1634.0,1394.0,1512.0,56565.5,0.5331807117190217
NOC4L.rescaled,12708.5,11811.0,12701.5,11804.5,1484.0,1981.0,1692.0,2385.0,56567.5,0.5331641524118631
ESAM.rescaled,5315.5,5268.5,5267.5,5315.5,8679.0,10106.0,8489.0,8135.0,56576.0,0.5330937753564391
CABYR.rescaled,5315.5,5268.5,5267.5,5315.5,8869.0,7762.0,9429.0,9356.0,56583.0,0.5330358177813841
BDH1.rescaled,5315.5,12458.0,11275.5,11804.5,3915.0,4177.0,3945.0,3695.0,56585.5,0.5330151186474358
PRSS1.rescaled,5315.5,5268.5,5267.5,5315.5,8686.0,9946.0,8465.0,8328.0,56592.0,0.5329613008991704
PRKAR1A.rescaled,5315.5,5268.5,5267.5,5315.5,8718.0,9405.0,8304.0,9004.0,56598.0,0.5329116229776947
APEX1.rescaled,5315.5,5268.5,5267.5,5315.5,8794.0,8869.0,8895.0,8873.0,56598.0,0.5329116229776947
MEF2A.rescaled,5315.5,5268.5,5267.5,5315.5,9257.0,8966.0,8365.0,8848.0,56603.0,0.5328702247097982
PDCD2.rescaled,5315.5,5268.5,5267.5,5315.5,9659.0,7919.0,9074.0,8786.0,56605.0,0.5328536654026396
WIPF3.rescaled,10495.0,10450.5,5267.5,5315.5,6069.0,5398.0,8001.0,5609.0,56605.5,0.5328495255758499
LMX1A.rescaled,13868.0,13748.0,13729.5,13454.0,321.0,312.0,481.0,693.0,56606.5,0.5328412459222707
TEX14.rescaled,5315.5,5268.5,5267.5,5315.5,8307.0,8443.0,9476.0,9214.0,56607.0,0.532837106095481
PPP1R16A.rescaled,11804.0,10450.5,11785.5,10462.0,2625.0,2094.0,2716.0,4673.0,56610.0,0.5328122671347431
TXNL4A.rescaled,13590.5,13748.0,14440.5,14099.0,154.0,317.0,142.0,121.0,56612.0,0.5327957078275845
OGN.rescaled,5315.5,5268.5,5267.5,5315.5,8828.0,8541.0,8754.0,9328.0,56618.0,0.5327460299061088
TCP11L2.rescaled,5315.5,5268.5,5267.5,5315.5,9017.0,9125.0,9420.0,7894.0,56623.0,0.5327046316382122
NNAT.rescaled,13299.0,14561.0,14547.0,13872.5,64.0,74.0,55.0,153.0,56625.5,0.532683932504264
TTYH2.rescaled,5315.5,10450.5,5267.5,11279.5,6271.0,6087.0,6175.0,5783.0,56629.0,0.5326549537167364
TAF11.rescaled,11311.0,5268.5,12155.5,12455.5,3804.0,4115.0,3817.0,3707.0,56633.5,0.5326176952756296
DSC2.rescaled,540.0,270.5,524.5,128.5,14334.0,13430.0,13516.0,13893.0,56636.5,0.5325928563148918
ZNF124.rescaled,13731.5,13455.0,14223.5,13872.5,298.0,581.0,209.0,274.0,56644.5,0.5325266190862574
TRUB1.rescaled,5315.5,5268.5,5267.5,5315.5,8644.0,8612.0,8936.0,9286.0,56645.0,0.5325224792594678
ANAPC1.rescaled,5315.5,5268.5,5267.5,5315.5,8756.0,8946.0,8750.0,9029.0,56648.0,0.5324976402987299
MBTD1.rescaled,5315.5,5268.5,5267.5,5315.5,8974.0,8594.0,8993.0,8922.0,56650.0,0.5324810809915713
TRAPPC5.rescaled,5315.5,5268.5,5267.5,5315.5,7393.0,8484.0,9665.0,9943.0,56652.0,0.5324645216844127
TUSC1.rescaled,5315.5,5268.5,5267.5,5315.5,8246.0,8975.0,9099.0,9167.0,56654.0,0.5324479623772541
ADAM33.rescaled,10495.0,10450.5,5267.5,5315.5,7226.0,6438.0,5172.0,6291.0,56655.5,0.5324355428968852
TMEM109.rescaled,12456.0,13455.0,13293.0,13277.5,966.0,1164.0,963.0,1082.0,56656.5,0.5324272632433059
TUBB2A.rescaled,5315.5,5268.5,5267.5,10462.0,5158.0,8425.0,6749.0,10012.0,56657.5,0.5324189835897266
SPTY2D1.rescaled,5315.5,5268.5,5267.5,5315.5,8366.0,9098.0,9161.0,8867.0,56659.0,0.5324065641093576
SIRT5.rescaled,5315.5,5268.5,5267.5,5315.5,9285.0,9007.0,9238.0,7965.0,56662.0,0.5323817251486198
TNPO2.rescaled,5315.5,10450.5,5267.5,11279.5,6023.0,5374.0,6147.0,6808.0,56665.0,0.5323568861878819
CACNA1D.rescaled,25.0,26.0,31.5,39.5,14643.0,13986.0,14449.0,13467.0,56667.0,0.5323403268807233
WDR81.rescaled,5315.5,5268.5,5267.5,5315.5,9165.0,8785.0,8575.0,8976.0,56668.0,0.532332047227144
FAAH.rescaled,5315.5,5268.5,5267.5,5315.5,9188.0,9147.0,8809.0,8359.0,56670.0,0.5323154879199854
MRPS24.rescaled,5315.5,5268.5,5267.5,5315.5,8773.0,8345.0,9331.0,9066.0,56682.0,0.5322161320770339
MATN4.rescaled,5315.5,5268.5,5267.5,5315.5,8226.0,9124.0,9636.0,8533.0,56686.0,0.5321830134627168
COQ10B.rescaled,5315.5,5268.5,5267.5,5315.5,10889.0,9223.0,9747.0,5662.0,56688.0,0.5321664541555582
WIPF1.rescaled,5315.5,5268.5,5267.5,5315.5,8626.0,10033.0,10925.0,5939.0,56690.0,0.5321498948483996
TIMD4.rescaled,5315.5,5268.5,5267.5,5315.5,7824.0,10182.0,8030.0,9488.0,56691.0,0.5321416151948202
ACTR10.rescaled,5315.5,5268.5,5267.5,5315.5,8814.0,8631.0,9311.0,8768.0,56691.0,0.5321416151948202
HERC4.rescaled,5315.5,5268.5,5267.5,5315.5,9946.0,8303.0,8127.0,9148.0,56691.0,0.5321416151948202
PLA2G12A.rescaled,10495.0,5268.5,11275.5,11804.5,6519.0,4121.0,3779.0,3431.0,56693.5,0.532120916060872
RTN4RL2.rescaled,540.0,533.5,263.0,550.0,13867.0,12740.0,14212.0,13992.0,56697.5,0.5320877974465548
TMEM86B.rescaled,5315.5,5268.5,5267.5,5315.5,9645.0,8823.0,8258.0,8811.0,56704.0,0.5320339796982894
YWHAZ.rescaled,12708.5,13609.5,13865.5,12903.5,1005.0,1316.0,617.0,681.0,56706.0,0.5320174203911308
NHLRC2.rescaled,5315.5,5268.5,5267.5,5315.5,9135.0,9226.0,8852.0,8330.0,56710.0,0.5319843017768137
SYCE3.rescaled,13120.5,12710.0,13450.5,12691.5,1294.0,991.0,1416.0,1042.0,56715.5,0.5319387636821276
MYLK.rescaled,5315.5,5268.5,5267.5,5315.5,9128.0,8126.0,9556.0,8741.0,56718.0,0.5319180645481794
GPR132.rescaled,5315.5,5268.5,5267.5,5315.5,9354.0,8712.0,7735.0,9765.0,56733.0,0.5317938697444899
RSRC2.rescaled,5315.5,5268.5,10433.5,5315.5,7411.0,6560.0,8586.0,7853.0,56743.0,0.5317110732086969
SNRNP70.rescaled,5315.5,5268.5,5267.5,5315.5,9824.0,8690.0,9293.0,7770.0,56744.0,0.5317027935551177
DDX60L.rescaled,5315.5,5268.5,5267.5,5315.5,8860.0,8761.0,8812.0,9153.0,56753.0,0.531628276672904
PRAM1.rescaled,5315.5,5268.5,5267.5,5315.5,8771.0,9154.0,9033.0,8629.0,56754.0,0.5316199970193247
SDC3.rescaled,5315.5,533.5,5267.5,5315.5,9719.0,11275.0,8159.0,11169.0,56754.0,0.5316199970193247
SLC39A14.rescaled,5315.5,5268.5,5267.5,5315.5,8889.0,8575.0,8720.0,9404.0,56755.0,0.5316117173657454
RBM39.rescaled,5315.5,5268.5,5267.5,5315.5,9061.0,9131.0,8748.0,8652.0,56759.0,0.5315785987514283
NBPF6.rescaled,13120.5,13455.0,13450.5,13277.5,953.0,816.0,965.0,722.0,56759.5,0.5315744589246386
SLC22A9.rescaled,5315.5,5268.5,5267.5,5315.5,7973.0,9248.0,9024.0,9359.0,56771.0,0.5314792429084767
ZNF157.rescaled,13868.0,13609.5,13998.0,13989.0,311.0,254.0,286.0,456.0,56771.5,0.5314751030816871
ZNF700.rescaled,5315.5,5268.5,5267.5,5315.5,8859.0,8973.0,8892.0,8882.0,56773.0,0.5314626836013181
POR.rescaled,5315.5,5268.5,5267.5,5315.5,8932.0,9054.0,8952.0,8669.0,56774.0,0.5314544039477389
TMEM219.rescaled,5315.5,5268.5,5267.5,5315.5,9840.0,8361.0,9144.0,8265.0,56777.0,0.5314295649870009
ALG12.rescaled,5315.5,5268.5,5267.5,5315.5,9444.0,8429.0,9002.0,8744.0,56786.0,0.5313550481047873
YBX1.rescaled,10495.0,5268.5,10433.5,5315.5,7117.0,5733.0,5789.0,6637.0,56788.5,0.5313343489708391
SLAMF6.rescaled,5315.5,5268.5,5267.5,5315.5,8339.0,9238.0,10086.0,7963.0,56793.0,0.5312970905297323
MYO1D.rescaled,5315.5,5268.5,5267.5,5315.5,9014.0,9108.0,8490.0,9016.0,56795.0,0.5312805312225737
KCNS2.rescaled,13299.0,14665.0,14329.0,14312.0,52.0,54.0,37.0,51.0,56799.0,0.5312474126082565
PPIE.rescaled,5315.5,5268.5,5267.5,5315.5,9163.0,9870.0,8648.0,7955.0,56803.0,0.5312142939939393
ADAM32.rescaled,5315.5,5268.5,5267.5,5315.5,9414.0,8831.0,8696.0,8696.0,56804.0,0.5312060143403601
MRPL23.rescaled,5315.5,5268.5,5267.5,5315.5,8029.0,9422.0,9549.0,8638.0,56805.0,0.5311977346867807
SYN2.rescaled,12456.0,12710.0,13865.5,13093.5,1150.0,952.0,1506.0,1075.0,56808.0,0.5311728957260429
BIVM.rescaled,13299.0,13455.0,13729.5,13738.5,541.0,536.0,1001.0,508.0,56808.0,0.5311728957260429
LONRF1.rescaled,5315.5,5268.5,5267.5,5315.5,7872.0,9755.0,9106.0,8909.0,56809.0,0.5311646160724635
REPS2.rescaled,13997.0,14236.5,14440.5,13738.5,127.0,108.0,70.0,96.0,56813.5,0.5311273576313567
LARP6.rescaled,12456.0,12458.0,12701.5,11279.5,1812.0,1968.0,1945.0,2207.0,56827.0,0.5310155823080362
CUEDC1.rescaled,5315.5,5268.5,5267.5,5315.5,10196.0,8205.0,8555.0,8705.0,56828.0,0.531007302654457
FXYD2.rescaled,5315.5,5268.5,5267.5,5315.5,8673.0,8710.0,9308.0,8972.0,56830.0,0.5309907433472983
SLC2A1.rescaled,362.5,5268.5,524.5,550.0,11852.0,12607.0,13294.0,12373.0,56831.5,0.5309783238669294
ARPC1A.rescaled,11311.0,11811.0,10433.5,11279.5,4078.0,2162.0,2639.0,3120.0,56834.0,0.5309576247329812
HPRT1.rescaled,12161.0,11811.0,12442.0,12903.5,1248.0,2878.0,1948.0,1443.0,56834.5,0.5309534849061915
MC5R.rescaled,5315.5,5268.5,5267.5,5315.5,9204.0,9424.0,8625.0,8424.0,56844.0,0.5308748281971882
CCNG2.rescaled,5315.5,5268.5,5267.5,5315.5,8240.0,9372.0,8611.0,9463.0,56853.0,0.5308003113149746
TIMM8B.rescaled,5315.5,5268.5,5267.5,5315.5,7761.0,8992.0,9945.0,8992.0,56857.0,0.5307671927006574
TMEM120A.rescaled,5315.5,5268.5,5267.5,5315.5,9147.0,8670.0,9237.0,8637.0,56858.0,0.5307589130470781
RNF11.rescaled,5315.5,5268.5,5267.5,5315.5,9067.0,8883.0,8784.0,8960.0,56861.0,0.5307340740863402
FBP2.rescaled,5315.5,5268.5,5267.5,5315.5,8983.0,8398.0,9036.0,9278.0,56862.0,0.5307257944327609
LRP6.rescaled,5315.5,5268.5,5267.5,5315.5,8650.0,8941.0,8902.0,9202.0,56862.0,0.5307257944327609
SULT1E1.rescaled,5315.5,5268.5,5267.5,5315.5,9635.0,9137.0,9163.0,7767.0,56869.0,0.5306678368577058
P2RY12.rescaled,5315.5,5268.5,5267.5,5315.5,10642.0,3941.0,10041.0,11078.0,56869.0,0.5306678368577058
MRC2.rescaled,5315.5,5268.5,5267.5,5315.5,8845.0,9059.0,8955.0,8844.0,56870.0,0.5306595572041266
ULK1.rescaled,12456.0,11316.5,12155.5,12172.0,3150.0,1201.0,2316.0,2103.0,56870.0,0.5306595572041266
B4GALT5.rescaled,5315.5,5268.5,5267.5,5315.5,8702.0,8798.0,8992.0,9211.0,56870.0,0.5306595572041266
EPAS1.rescaled,5315.5,5268.5,5267.5,5315.5,9116.0,8550.0,9373.0,8666.0,56872.0,0.530642997896968
CAMTA1.rescaled,5315.5,5268.5,5267.5,5315.5,8710.0,9143.0,9063.0,8790.0,56873.0,0.5306347182433887
TMED4.rescaled,5315.5,5268.5,5267.5,5315.5,7210.0,8457.0,9965.0,10076.0,56875.0,0.5306181589362301
KRT4.rescaled,5315.5,5268.5,5267.5,5315.5,8611.0,8705.0,9208.0,9204.0,56895.0,0.5304525658646442
RAB36.rescaled,5315.5,5268.5,5267.5,5315.5,8291.0,9300.0,9350.0,8792.0,56900.0,0.5304111675967478
MAGOHB.rescaled,5315.5,5268.5,5267.5,5315.5,8498.0,9432.0,9092.0,8711.0,56900.0,0.5304111675967478
PTAR1.rescaled,5315.5,5268.5,5267.5,5315.5,9089.0,8922.0,8786.0,8952.0,56916.0,0.5302786931394791
LIMCH1.rescaled,5315.5,5268.5,5267.5,5315.5,7034.0,11435.0,7278.0,10006.0,56920.0,0.5302455745251619
FOXN4.rescaled,5315.5,5268.5,5267.5,5315.5,10252.0,7849.0,7918.0,9737.0,56923.0,0.530220735564424
PDIA4.rescaled,5315.5,5268.5,5267.5,5315.5,11197.0,5636.0,8071.0,10852.0,56923.0,0.530220735564424
LRRC45.rescaled,13299.0,13609.5,13865.5,13738.5,544.0,812.0,540.0,515.0,56923.5,0.5302165957376344
ZIM3.rescaled,5315.5,5268.5,5267.5,5315.5,9015.0,9183.0,8626.0,8934.0,56925.0,0.5302041762572653
TGIF1.rescaled,5315.5,5268.5,5267.5,5315.5,9592.0,9364.0,8154.0,8648.0,56925.0,0.5302041762572653
SUMF1.rescaled,5315.5,5268.5,5267.5,5315.5,7128.0,9976.0,8290.0,10366.0,56927.0,0.5301876169501067
ABCB6.rescaled,5315.5,5268.5,5267.5,5315.5,9152.0,9615.0,8711.0,8283.0,56928.0,0.5301793372965276
FAM20A.rescaled,5315.5,5268.5,5267.5,5315.5,9246.0,9701.0,7066.0,9749.0,56929.0,0.5301710576429481
PDZD2.rescaled,14538.0,14122.0,14223.5,13277.5,151.0,188.0,207.0,222.0,56929.0,0.5301710576429481
WNT16.rescaled,12456.0,11316.5,12442.0,11804.5,1994.0,2375.0,2651.0,1893.0,56932.0,0.5301462186822103
ZNF425.rescaled,13731.5,14458.0,13729.5,13277.5,451.0,556.0,412.0,322.0,56937.5,0.5301006805875242
BCAP29.rescaled,11804.0,13115.5,11785.5,12172.0,1883.0,2044.0,2142.0,1992.0,56938.0,0.5300965407607345
PDP2.rescaled,540.0,5268.5,524.5,5315.5,12167.0,12480.0,10685.0,9960.0,56940.5,0.5300758416267863
TATDN3.rescaled,5315.5,5268.5,5267.5,5315.5,9382.0,10180.0,9195.0,7017.0,56941.0,0.5300717017999967
MMP14.rescaled,5315.5,5268.5,5267.5,5315.5,9622.0,9202.0,8740.0,8218.0,56949.0,0.5300054645713623
PRPF4B.rescaled,14228.0,13609.5,13729.5,14538.5,396.0,135.0,150.0,165.0,56951.5,0.5299847654374141
CASP8AP2.rescaled,5315.5,5268.5,5267.5,5315.5,8796.0,9023.0,9187.0,8785.0,56958.0,0.5299309476891487
COLEC11.rescaled,13120.5,13115.5,12935.0,13277.5,1003.0,1683.0,914.0,910.0,56958.5,0.529926807862359
PIP4K2C.rescaled,5315.5,5268.5,5267.5,5315.5,8872.0,9218.0,9174.0,8529.0,56960.0,0.5299143883819901
FOXJ3.rescaled,5315.5,5268.5,5267.5,5315.5,8576.0,9216.0,8931.0,9073.0,56963.0,0.5298895494212522
ASPDH.rescaled,5315.5,5268.5,5267.5,5315.5,9360.0,10826.0,8820.0,6798.0,56971.0,0.5298233121926179
SLC17A5.rescaled,10495.0,11811.0,5267.5,11279.5,2769.0,6909.0,4088.0,4359.0,56978.0,0.5297653546175628
AGFG1.rescaled,5315.5,5268.5,5267.5,5315.5,8944.0,8849.0,8691.0,9330.0,56981.0,0.5297405156568249
LRFN5.rescaled,13868.0,13881.0,13729.5,14210.5,230.0,347.0,365.0,350.0,56981.0,0.5297405156568249
ISM2.rescaled,5315.5,5268.5,5267.5,5315.5,9127.0,8746.0,8939.0,9010.0,56989.0,0.5296742784281905
CNN2.rescaled,5315.5,5268.5,5267.5,5315.5,9872.0,6953.0,10365.0,8634.0,56991.0,0.529657719121032
ST7L.rescaled,5315.5,5268.5,5267.5,5315.5,8404.0,9052.0,8667.0,9703.0,56993.0,0.5296411598138734
IRF2BP2.rescaled,13451.0,13115.5,13129.0,13738.5,1339.0,735.0,655.0,830.0,56993.0,0.5296411598138734
TPO.rescaled,14228.0,14004.5,13729.5,14099.0,175.0,316.0,235.0,206.0,56993.0,0.5296411598138734
ID1.rescaled,5315.5,10450.5,10433.5,10462.0,5699.0,4512.0,5562.0,4565.0,56999.5,0.529587342065608
CXCL3.rescaled,13731.5,13609.5,13865.5,13454.0,611.0,667.0,556.0,506.0,57000.5,0.5295790624120287
PCF11.rescaled,5315.5,5268.5,5267.5,5315.5,7352.0,8904.0,10108.0,9470.0,57001.0,0.5295749225852391
SNRNP40.rescaled,13868.0,13881.0,13998.0,13989.0,351.0,253.0,343.0,319.0,57002.0,0.5295666429316597
