,accuracy_diff_4.pkl,accuracy_diff_5.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,r2_diff_5.pkl,rank_total,rank_fin
CES3.rescaled,261.5,398.5,260.5,403.0,391.0,186.0,90.0,214.0,131.0,59.0,2394.5,0.9846324246582135
OR2A7.rescaled,158.5,219.5,220.5,322.0,220.5,599.0,261.0,142.0,117.0,172.0,2432.0,0.984384453885702
SIGLEC1.rescaled,261.5,546.0,162.5,230.0,324.0,473.0,81.0,138.0,136.0,164.0,2516.0,0.983828999355276
FOXM1.rescaled,19.0,35.5,74.5,109.5,60.0,676.0,956.0,111.0,85.0,456.0,2582.5,0.9833892645186888
HJURP.rescaled,45.0,35.5,22.0,17.5,84.5,108.0,1603.0,434.0,239.0,73.0,2661.5,0.9828668727579308
IQGAP3.rescaled,34.0,12.5,22.0,17.5,11.0,121.0,384.0,156.0,1128.0,803.0,2689.0,0.9826850275247556
KIF2C.rescaled,85.5,35.5,16.0,24.5,22.5,79.0,248.0,193.0,122.0,1869.0,2695.0,0.982645352201154
CIDEC.rescaled,397.5,398.5,325.0,230.0,324.0,174.0,388.0,151.0,199.0,122.0,2709.0,0.9825527764460829
RAB3C.rescaled,546.5,546.0,260.5,322.0,264.0,113.0,112.0,174.0,233.0,146.0,2717.0,0.9824998760146136
HS6ST2.rescaled,546.5,398.5,550.0,322.0,264.0,143.0,79.0,120.0,182.0,119.0,2724.0,0.9824535881370784
TP53TG5.rescaled,45.0,12.5,27.0,36.0,7.5,799.0,493.0,196.0,611.0,521.0,2748.0,0.9822948868426707
NEU4.rescaled,220.5,186.5,162.5,272.5,139.0,168.0,39.0,135.0,1150.0,275.0,2748.0,0.9822948868426707
TPRG1.rescaled,546.5,398.5,325.0,550.5,537.0,45.0,129.0,68.0,148.0,29.0,2776.5,0.982106429055562
PRKAA2.rescaled,220.5,319.0,135.5,230.0,114.0,173.0,290.0,450.0,216.0,632.0,2780.0,0.9820832851167942
