,accuracy_diff_4.pkl,accuracy_diff_5.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,r2_diff_5.pkl,rank_total,rank_fin
SAMD5.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8539.0,8578.0,8578.0,8019.0,8271.0,81408.5,0.4621480881453439
KITLG.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7977.0,10635.0,8542.0,5340.0,9494.0,81411.5,0.462128250483543
ZNF511.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8424.0,8497.0,8293.0,8544.0,8231.0,81412.5,0.4621216379296093
TRPC4AP.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8271.0,8337.0,8350.0,8520.0,8513.0,81414.5,0.4621084128217421
SLC37A1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8275.0,8338.0,8565.0,8517.0,8298.0,81416.5,0.4620951877138748
CTSZ.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8426.0,8768.0,8194.0,10407.0,6200.0,81418.5,0.4620819626060075
UBXN6.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8782.0,8864.0,7697.0,8392.0,8265.0,81423.5,0.4620488998363393
XAB2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,5993.0,9455.0,9379.0,9343.0,7831.0,81424.5,0.4620422872824056
NRP2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9415.0,9894.0,9372.0,4017.0,9303.0,81424.5,0.4620422872824056
UBA3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8467.0,8735.0,7854.0,7860.0,9105.0,81444.5,0.4619100362037328
NRBF2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8897.0,7462.0,8741.0,8672.0,8249.0,81444.5,0.4619100362037328
ZNF569.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8499.0,8262.0,8351.0,8491.0,8423.0,81449.5,0.4618769734340645
LHFPL2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8388.0,8447.0,8966.0,8298.0,7927.0,81449.5,0.4618769734340645
SPP1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,10033.0,10302.0,5638.0,9278.0,6777.0,81451.5,0.4618637483261972
EIF5B.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8798.0,8765.0,9005.0,7961.0,7500.0,81452.5,0.4618571357722636
PCDHB12.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8877.0,9207.0,8081.0,9119.0,6750.0,81457.5,0.4618240730025954
SPIN2B.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8547.0,8013.0,8623.0,8561.0,8293.0,81460.5,0.4618042353407945
SFT2D1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8318.0,8243.0,8699.0,8039.0,8742.0,81464.5,0.4617777851250599
PCMTD1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8316.0,7946.0,5994.0,9499.0,10286.0,81464.5,0.4617777851250599
CCDC127.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,6943.0,4475.0,10319.0,9977.0,10329.0,81466.5,0.4617645600171927
MED28.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8645.0,8599.0,8689.0,7689.0,8425.0,81470.5,0.461738109801458
SYT5.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,6523.0,10650.0,10704.0,7189.0,6992.0,81481.5,0.461665371708188
DKK4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7764.0,8561.0,8743.0,8558.0,8433.0,81482.5,0.4616587591542543
PRMT1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9506.0,9885.0,6156.0,7109.0,9409.0,81488.5,0.4616190838306525
IDI1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8868.0,7890.0,8557.0,7996.0,8758.0,81492.5,0.4615926336149178
LACRT.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,5904.0,9497.0,5902.0,10397.0,10376.0,81499.5,0.4615463457373824
CCNK.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7629.0,8698.0,8344.0,9051.0,8362.0,81507.5,0.4614934453059133
CHST5.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,6296.0,4768.0,10573.0,11453.0,8997.0,81510.5,0.4614736076441124
ARHGAP22.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8462.0,8573.0,8302.0,8804.0,7946.0,81510.5,0.4614736076441124
PLCD1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9181.0,8404.0,9268.0,6841.0,8401.0,81518.5,0.4614207072126431
ZNF544.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7333.0,7974.0,9437.0,8318.0,9037.0,81522.5,0.4613942569969086
ESAM.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9509.0,6361.0,8737.0,9083.0,8412.0,81525.5,0.4613744193351077
FAM71D.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7986.0,8973.0,7802.0,8306.0,9047.0,81537.5,0.4612950686879039
SETD3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8695.0,8422.0,8373.0,7734.0,8905.0,81552.5,0.4611958803788993
DICER1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9350.0,5657.0,6190.0,9633.0,11308.0,81561.5,0.4611363673934965
MSL2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8102.0,8358.0,8561.0,8524.0,8596.0,81564.5,0.4611165297316956
TOM1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,6905.0,7864.0,8796.0,10257.0,8321.0,81566.5,0.4611033046238283
MICALL1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8911.0,8604.0,8241.0,8735.0,7656.0,81570.5,0.4610768544080937
STAMBPL1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8422.0,8211.0,8605.0,8265.0,8654.0,81580.5,0.4610107288687574
MANBAL.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,10764.0,9814.0,8550.0,5208.0,7826.0,81585.5,0.4609776660990891
CDO1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8639.0,8579.0,8267.0,8337.0,8342.0,81587.5,0.4609644409912218
KLHL11.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8283.0,9061.0,7988.0,8890.0,7943.0,81588.5,0.4609578284372881
BCL6.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7803.0,9968.0,6185.0,9660.0,8550.0,81589.5,0.4609512158833545
SLCO2A1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7707.0,7608.0,4357.0,10418.0,12079.0,81592.5,0.4609313782215536
GSTM4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7477.0,9109.0,5320.0,8096.0,12170.0,81595.5,0.4609115405597527
COASY.rescaled,186.5,7884.0,550.0,646.0,391.0,14389.0,14241.0,14243.0,14455.0,14619.0,81604.5,0.4608520275743499
TIMP1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8776.0,5809.0,9144.0,10476.0,7986.0,81614.5,0.4607859020350134
SP4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8155.0,8444.0,8514.0,8653.0,8432.0,81621.5,0.460739614157478
PDE12.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7926.0,6256.0,8941.0,9626.0,9457.0,81629.5,0.4606867137260088
THAP6.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9411.0,8880.0,10018.0,5936.0,7963.0,81631.5,0.4606734886181415
NANOS1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8471.0,8630.0,8201.0,8530.0,8379.0,81634.5,0.4606536509563406
CREB3L4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,11286.0,7714.0,7215.0,7441.0,8555.0,81634.5,0.4606536509563406
AKAP12.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8715.0,8082.0,8977.0,10336.0,6122.0,81655.5,0.4605147873237341
VWCE.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9010.0,10347.0,9434.0,4714.0,8735.0,81663.5,0.4604618868922649
NUP93.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8461.0,8870.0,8800.0,8528.0,7582.0,81664.5,0.4604552743383313
C7orf57.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8671.0,8292.0,8451.0,8244.0,8590.0,81671.5,0.4604089864607958
RGP1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9176.0,9060.0,4995.0,9523.0,9499.0,81676.5,0.4603759236911275
LILRA4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8952.0,7042.0,8946.0,8549.0,8768.0,81680.5,0.460349473475393
MIPOL1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9703.0,6406.0,8708.0,10396.0,7044.0,81680.5,0.460349473475393
ACTR2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7526.0,8403.0,9366.0,8812.0,8150.0,81680.5,0.460349473475393
TBX15.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8976.0,8399.0,8328.0,8135.0,8420.0,81681.5,0.4603428609214594
KDM6A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8389.0,8493.0,8390.0,8579.0,8413.0,81687.5,0.4603031855978575
PCDHA13.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,11738.0,3725.0,8432.0,8134.0,10237.0,81689.5,0.4602899604899902
FRG1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8175.0,8036.0,8673.0,8636.0,8749.0,81692.5,0.4602701228281893
STRN.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8484.0,8575.0,8322.0,8446.0,8443.0,81693.5,0.4602635102742557
NUDT5.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8610.0,8810.0,8236.0,8377.0,8242.0,81698.5,0.4602304475045874
FAM185A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8237.0,9301.0,9132.0,8075.0,7542.0,81710.5,0.4601510968573837
SIDT2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8818.0,8029.0,8512.0,8175.0,8755.0,81712.5,0.4601378717495165
GDF11.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8390.0,9792.0,8153.0,9292.0,6662.0,81712.5,0.4601378717495165
ZNF320.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8658.0,8216.0,8577.0,8358.0,8492.0,81724.5,0.4600585211023127
GRM8.rescaled,7885.0,7884.0,550.0,7884.5,7883.5,11897.0,11688.0,3033.0,13147.0,9874.0,81726.0,0.4600486022714123
ANAPC2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9481.0,10065.0,8196.0,6175.0,8389.0,81729.5,0.4600254583326445
ACAT2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8516.0,8193.0,8242.0,8665.0,8690.0,81729.5,0.4600254583326445
NAT9.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8201.0,8027.0,7294.0,7823.0,10970.0,81738.5,0.4599659453472418
SUOX.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8153.0,7272.0,9519.0,7994.0,9381.0,81742.5,0.4599394951315071
TPD52L2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8807.0,8456.0,10059.0,7580.0,7423.0,81748.5,0.4598998198079053
XPO5.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8628.0,7103.0,9536.0,8726.0,8341.0,81757.5,0.4598403068225025
SYPL1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,6047.0,9626.0,9824.0,7946.0,8892.0,81758.5,0.4598336942685689
CLIP1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8268.0,8540.0,8475.0,8434.0,8620.0,81760.5,0.4598204691607016
ADAR.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8368.0,8565.0,8734.0,8326.0,8345.0,81761.5,0.459813856606768
CSTF2T.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8331.0,8128.0,8669.0,9020.0,8204.0,81775.5,0.4597212808516969
RHOF.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8953.0,8043.0,8053.0,8924.0,8385.0,81781.5,0.4596816055280951
ZMYM4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8615.0,9160.0,8799.0,6695.0,9092.0,81784.5,0.4596617678662942
MARK2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9377.0,8663.0,8873.0,5378.0,10076.0,81790.5,0.4596220925426922
ARMC1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9453.0,8189.0,8127.0,8884.0,7715.0,81791.5,0.4596154799887586
PDIA4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8720.0,8197.0,6008.0,9202.0,10243.0,81793.5,0.4596022548808913
CERS5.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8527.0,8518.0,8402.0,8778.0,8166.0,81814.5,0.4594633912482848
ADAL.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,10671.0,9573.0,7838.0,9485.0,4826.0,81816.5,0.4594501661404175
ZYG11A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9760.0,4435.0,9014.0,9118.0,10086.0,81836.5,0.4593179150617447
DNAJC17.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8469.0,8152.0,9946.0,7006.0,8842.0,81838.5,0.4593046899538774
STK40.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7892.0,10805.0,3194.0,9859.0,10669.0,81842.5,0.4592782397381428
DIDO1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8479.0,8336.0,8477.0,8426.0,8718.0,81859.5,0.4591658263212709
GFPT2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8514.0,8619.0,11179.0,9646.0,4482.0,81863.5,0.4591393761055363
KLC1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8893.0,9874.0,10130.0,7773.0,5782.0,81875.5,0.4590600254583327
DAOA.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8580.0,8626.0,8436.0,8538.0,8273.0,81876.5,0.459053412904399
SCGB2B2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8591.0,9683.0,7505.0,8822.0,7855.0,81879.5,0.459033575242598
FTL.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8068.0,8348.0,8591.0,8651.0,8798.0,81879.5,0.459033575242598
SEC14L4.rescaled,7885.0,7884.0,407.5,403.0,537.0,14143.0,13340.0,11479.0,13884.0,11924.0,81886.5,0.4589872873650625
POU3F3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8411.0,8430.0,9060.0,8288.0,8280.0,81892.5,0.4589476120414607
FCRL2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8834.0,8671.0,8191.0,8369.0,8405.0,81893.5,0.4589409994875271
TLK1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9199.0,10669.0,5503.0,6996.0,10105.0,81895.5,0.4589277743796598
RFFL.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,6815.0,9419.0,9199.0,8036.0,9006.0,81898.5,0.4589079367178589
TPM3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,11393.0,4039.0,11340.0,5792.0,9913.0,81900.5,0.4588947116099916
SLC26A9.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8616.0,8396.0,8089.0,8709.0,8668.0,81901.5,0.4588880990560579
DNAJC15.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8263.0,8766.0,9105.0,8477.0,7872.0,81906.5,0.4588550362863897
VTCN1.rescaled,320.0,7884.0,325.0,550.5,537.0,14847.0,14880.0,14031.0,13527.0,15005.0,81906.5,0.4588550362863897
CLEC4F.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9027.0,8237.0,8607.0,7553.0,9063.0,81910.5,0.4588285860706551
CLTCL1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8763.0,8869.0,8425.0,8327.0,8105.0,81912.5,0.4588153609627878
DMD.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9772.0,5898.0,9001.0,7667.0,10154.0,81915.5,0.4587955233009869
NID1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,10345.0,9827.0,9516.0,7100.0,5706.0,81917.5,0.4587822981931196
LRRC52.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,5061.0,5527.0,12242.0,9361.0,10305.0,81919.5,0.4587690730852524
LTA.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8377.0,8335.0,8761.0,8333.0,8699.0,81928.5,0.4587095600998495
KATNAL2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,11530.0,5539.0,3102.0,11510.0,10825.0,81929.5,0.4587029475459159
ARPC5.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2977.0,10509.0,12377.0,8439.0,8223.0,81948.5,0.4585773090211766
RAVER2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8357.0,8391.0,8626.0,9033.0,8119.0,81949.5,0.458570696467243
DCAF15.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,10211.0,6459.0,9872.0,7717.0,8274.0,81956.5,0.4585244085897075
SMC2.rescaled,7885.0,546.0,550.0,403.0,324.0,14344.0,14637.0,14770.0,13885.0,14613.0,81957.0,0.4585211023127408
CTSS.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8974.0,8716.0,7881.0,8610.0,8354.0,81958.5,0.4585111834818403
ENTPD6.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8308.0,9335.0,8347.0,7510.0,9049.0,81972.5,0.4584186077267692
PLEKHH2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8214.0,9182.0,7070.0,6997.0,11086.0,81972.5,0.4584186077267692
CCKBR.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9905.0,9806.0,8014.0,5295.0,9536.0,81979.5,0.4583723198492337
SRRM3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8577.0,8897.0,8634.0,7910.0,8539.0,81980.5,0.4583657072953001
HIVEP1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8344.0,8524.0,8545.0,8533.0,8611.0,81980.5,0.4583657072953001
RPL13A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8569.0,7733.0,9157.0,8634.0,8466.0,81982.5,0.4583524821874328
HDLBP.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8392.0,8120.0,6316.0,9635.0,10099.0,81985.5,0.4583326445256319
MRPL17.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8955.0,8703.0,8264.0,8737.0,7904.0,81986.5,0.4583260319716983
OCM.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7947.0,8340.0,10919.0,7280.0,8083.0,81992.5,0.4582863566480963
SHD.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8222.0,8568.0,8485.0,8847.0,8450.0,81995.5,0.4582665189862954
SCYL1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8815.0,8089.0,8814.0,8106.0,8752.0,81999.5,0.4582400687705609
SERPINE1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8160.0,8877.0,8016.0,8649.0,8881.0,82006.5,0.4581937808930254
SUCLG2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8632.0,8318.0,8261.0,8958.0,8415.0,82007.5,0.4581871683390918
TAF4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7948.0,8251.0,8304.0,10084.0,7997.0,82007.5,0.4581871683390918
NPTX2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,10660.0,4494.0,10821.0,12408.0,4203.0,82009.5,0.4581739432312245
ZNF763.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8020.0,9211.0,8064.0,8921.0,8372.0,82011.5,0.4581607181233572
TCEAL3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8537.0,8104.0,8825.0,8911.0,8219.0,82019.5,0.458107817691888
SLC7A5.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,4995.0,11434.0,4444.0,10616.0,11119.0,82031.5,0.4580284670446843
PKD2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9828.0,8509.0,11247.0,8342.0,4684.0,82033.5,0.4580152419368171
REXO4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,6010.0,9054.0,11922.0,9967.0,5658.0,82034.5,0.4580086293828834
TCTN1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,11101.0,6225.0,5023.0,8223.0,12074.0,82069.5,0.4577771899952059
BBS10.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8445.0,8468.0,8559.0,8731.0,8444.0,82070.5,0.4577705774412722
SYT7.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8397.0,8410.0,7680.0,9302.0,8869.0,82081.5,0.4576978393480022
FZD1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8927.0,7913.0,8496.0,8199.0,9135.0,82093.5,0.4576184887007984
SMG9.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7571.0,8386.0,9742.0,7801.0,9176.0,82099.5,0.4575788133771966
PIH1D2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7726.0,8894.0,9753.0,7362.0,8943.0,82101.5,0.4575655882693293
ZNF584.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8867.0,8775.0,8767.0,6949.0,9320.0,82101.5,0.4575655882693293
PPT1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8535.0,8651.0,8361.0,8531.0,8602.0,82103.5,0.4575523631614621
CPS1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8761.0,5316.0,7691.0,10271.0,10642.0,82104.5,0.4575457506075284
STT3B.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8327.0,8534.0,8744.0,8407.0,8669.0,82104.5,0.4575457506075284
EXOC1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8276.0,8618.0,8672.0,8724.0,8392.0,82105.5,0.4575391380535947
DDX55.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8605.0,8322.0,8762.0,8412.0,8584.0,82108.5,0.4575193003917938
PLBD2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8021.0,7513.0,9548.0,9221.0,8383.0,82109.5,0.4575126878378601
HEATR3.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7087.0,10409.0,9240.0,8338.0,7617.0,82114.5,0.4574796250681919
MOB1A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8413.0,7843.0,9057.0,9428.0,7953.0,82117.5,0.457459787406391
FLT1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8781.0,8382.0,6485.0,9588.0,9466.0,82125.5,0.4574068869749219
SPN.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8647.0,9233.0,8516.0,8069.0,8237.0,82125.5,0.4574068869749219
ADAMTS10.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9080.0,7214.0,8313.0,9000.0,9097.0,82127.5,0.4573936618670546
SAV1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8541.0,6567.0,8980.0,8094.0,10524.0,82129.5,0.4573804367591872
FMOD.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8329.0,8782.0,7961.0,8992.0,8648.0,82135.5,0.4573407614355854
KLHL15.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,10728.0,10452.0,7078.0,10034.0,4423.0,82138.5,0.4573209237737845
TTC7B.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8189.0,8450.0,8909.0,8454.0,8727.0,82152.5,0.4572283480187135
RASSF5.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,3045.0,9548.0,6569.0,12183.0,11387.0,82155.5,0.4572085103569125
C1R.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8719.0,9576.0,12232.0,4367.0,7839.0,82156.5,0.4572018978029789
ARPC1A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9569.0,6782.0,12527.0,4625.0,9230.0,82156.5,0.4572018978029789
SLC24A4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8567.0,8690.0,8490.0,8317.0,8670.0,82157.5,0.4571952852490453
B3GNT5.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9495.0,8169.0,8958.0,7543.0,8582.0,82170.5,0.457109322047908
KLHL21.rescaled,546.5,7884.0,407.5,322.0,264.0,14902.0,13913.0,14628.0,14509.0,14798.0,82174.0,0.4570861781091402
CCS.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7373.0,9168.0,8720.0,8197.0,9307.0,82188.5,0.4569902960771024
SDCCAG8.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,2676.0,11118.0,12402.0,4984.0,11593.0,82196.5,0.4569373956456332
DZIP1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8581.0,8367.0,8644.0,8694.0,8491.0,82200.5,0.4569109454298986
POLR2B.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8707.0,8188.0,8083.0,9028.0,8771.0,82200.5,0.4569109454298986
GCKR.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8077.0,8637.0,9166.0,8064.0,8839.0,82206.5,0.4568712701062968
MPL.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8115.0,9395.0,7071.0,8247.0,9958.0,82209.5,0.4568514324444959
LIMS1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,11631.0,5715.0,8348.0,10464.0,6633.0,82214.5,0.4568183696748277
IGFBP6.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9167.0,7753.0,8859.0,8026.0,8987.0,82215.5,0.456811757120894
RAB11FIP4.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,6727.0,11216.0,9726.0,9008.0,6126.0,82226.5,0.4567390190276239
INTS1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8374.0,8503.0,8722.0,8772.0,8434.0,82228.5,0.4567257939197566
METTL2A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,7928.0,8085.0,8277.0,9596.0,8933.0,82242.5,0.4566332181646856
LRP1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,5996.0,5635.0,10668.0,10762.0,9761.0,82245.5,0.4566133805028847
ZSCAN29.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9498.0,8332.0,8292.0,8169.0,8533.0,82247.5,0.4566001553950174
ACTN1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9155.0,8333.0,8506.0,8156.0,8676.0,82249.5,0.4565869302871501
OSBPL1A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,9254.0,8384.0,10543.0,9144.0,5502.0,82250.5,0.4565803177332165
SSR2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8244.0,8700.0,8114.0,8940.0,8834.0,82255.5,0.4565472549635483
TSPYL1.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8595.0,10114.0,6634.0,4415.0,13074.0,82255.5,0.4565472549635483
UBE2V2.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8684.0,8745.0,8553.0,8498.0,8360.0,82263.5,0.4564943545320792
UBXN2A.rescaled,7885.0,7884.0,7886.5,7884.5,7883.5,8791.0,8276.0,8563.0,8637.0,8574.0,82264.5,0.4564877419781454
