,accuracy_diff_4.pkl,accuracy_diff_5.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,r2_diff_5.pkl,rank_total,rank_fin
LRRC49.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3669.0,4058.0,4726.0,3816.0,3551.0,67584.5,0.5531045318342128
ALAD.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2772.0,4260.0,3203.0,6093.0,3498.0,67590.5,0.55306475564159
ELF2.rescaled,9535.0,4840.5,4815.5,4845.0,4867.5,9038.0,7122.0,7249.0,7736.0,7544.0,67592.5,0.5530514969107156
DGKZ.rescaled,2847.5,4840.5,4815.5,3649.5,4867.5,9456.0,7772.0,10677.0,9775.0,8896.0,67596.5,0.5530249794489672
MTPAP.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3866.0,3852.0,3383.0,2759.0,5973.0,67597.5,0.55301835008353
XRCC3.rescaled,2537.5,2540.5,1876.0,1706.0,2601.5,11723.0,10062.0,10856.0,12065.0,11632.0,67599.5,0.5530050913526557
ST7L.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,6553.0,4039.0,1936.0,3565.0,3751.0,67608.5,0.5529454270637215
BTD.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4580.0,4152.0,3058.0,4601.0,3455.0,67610.5,0.5529321683328472
NPTX1.rescaled,5616.5,9581.5,4815.5,5587.5,14476.5,6720.0,6724.0,4688.0,3519.0,5884.0,67612.5,0.5529189096019729
ZNF496.rescaled,13723.5,5640.5,13721.0,5643.5,14109.5,3864.0,3235.0,1765.0,3887.0,2025.0,67614.0,0.5529089655538172
NEO1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4323.0,4915.0,3771.0,4979.0,1865.0,67617.5,0.5528857627747872
TPRKB.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3714.0,6112.0,2846.0,2946.0,4238.0,67620.5,0.5528658746784758
ATAD2B.rescaled,9535.0,4840.5,4815.5,4845.0,9573.5,5646.0,8436.0,4053.0,8073.0,7807.0,67624.5,0.5528393572167272
PRKAA1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3662.0,4080.0,4747.0,3942.0,3440.0,67635.5,0.5527664341969187
TMEM231.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4275.0,4355.0,3963.0,4686.0,2592.0,67635.5,0.5527664341969187
TMED8.rescaled,4821.5,9581.5,4815.5,4845.0,4867.5,7980.0,7718.0,8367.0,7569.0,7085.0,67650.0,0.5526703083980802
TMEM200A.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3083.0,3984.0,4261.0,4342.0,4217.0,67651.5,0.5526603643499244
MFAP3.rescaled,4821.5,4840.5,2870.0,3649.5,2895.0,10009.0,10107.0,9378.0,8782.0,10304.0,67656.5,0.5526272175227387
CTSC.rescaled,2296.0,2316.0,2870.0,2875.0,2895.0,11968.0,10702.0,10030.0,10119.0,11587.0,67658.0,0.552617273474583
HOXA9.rescaled,3637.0,1574.5,4815.5,4845.0,1906.5,12110.0,9475.0,11459.0,10212.0,7627.0,67661.5,0.552594070695553
LTBP3.rescaled,9535.0,3632.0,9520.0,4845.0,9573.5,7072.0,5177.0,7711.0,4488.0,6110.0,67663.5,0.5525808119646787
CCDC96.rescaled,1877.0,2316.0,2870.0,1289.0,1274.5,11929.0,12889.0,8418.0,13446.0,11362.0,67670.5,0.5525344064066188
AATF.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3806.0,5389.0,3866.0,3652.0,3194.0,67671.5,0.5525277770411816
RAB40AL.rescaled,9535.0,9581.5,9520.0,13719.0,9573.5,2794.0,3360.0,2583.0,3006.0,4004.0,67676.0,0.5524979448967144
NSUN4.rescaled,4110.5,5640.5,3641.5,9554.5,9573.5,5200.0,7916.0,5847.0,8896.0,7310.0,67689.5,0.5524084484633132
BZW1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3147.0,4305.0,3825.0,4848.0,3801.0,67690.5,0.5524018190978759
PRDM1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3986.0,2618.0,5204.0,4144.0,3974.0,67690.5,0.5524018190978759
SUPV3L1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3793.0,6105.0,2942.0,4520.0,2573.0,67697.5,0.552355413539816
ZRANB1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3729.0,3934.0,4687.0,3286.0,4299.0,67699.5,0.5523421548089417
TUSC1.rescaled,9535.0,9581.5,3641.5,9554.5,9573.5,4998.0,4885.0,5547.0,4710.0,5674.0,67700.0,0.5523388401262231
KCNJ6.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4013.0,5505.0,3495.0,3320.0,3603.0,67700.5,0.5523355254435045
FKBP1B.rescaled,2296.0,9581.5,3641.5,3649.5,3650.5,8892.0,7749.0,9079.0,8520.0,10642.0,67701.0,0.552332210760786
PLEKHM3.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2564.0,4879.0,4730.0,2993.0,4771.0,67701.5,0.5523288960780675
ANKRD27.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4143.0,3280.0,3298.0,4975.0,4250.0,67710.5,0.5522692317891331
SOX17.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3178.0,4118.0,5006.0,3884.0,3764.0,67714.5,0.5522427143273846
LENG1.rescaled,13490.0,3166.5,13481.5,14251.0,2343.5,4739.0,3357.0,5738.0,3117.0,4036.0,67719.5,0.5522095675001989
COL5A2.rescaled,923.0,332.5,438.0,425.5,542.5,13420.0,12932.0,12131.0,14107.0,12469.0,67720.5,0.5522029381347617
HSD17B4.rescaled,9535.0,9581.5,4815.5,9554.5,9573.5,4708.0,4865.0,4890.0,5665.0,4540.0,67728.0,0.5521532178939832
CPT1C.rescaled,4821.5,9581.5,9520.0,9554.5,9573.5,5882.0,4896.0,3636.0,4772.0,5491.0,67728.0,0.5521532178939832
AMDHD2.rescaled,3637.0,9581.5,3641.5,9554.5,2343.5,9322.0,6709.0,8623.0,7814.0,6503.0,67729.0,0.552146588528546
ARHGEF10.rescaled,9535.0,3632.0,9520.0,9554.5,4867.5,6074.0,5769.0,8216.0,5239.0,5327.0,67734.0,0.5521134417013603
TAF9B.rescaled,4821.5,9581.5,9520.0,9554.5,9573.5,6085.0,4831.0,4457.0,4172.0,5153.0,67749.0,0.5520140012198033
ARPC1B.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4047.0,4131.0,3827.0,2485.0,5495.0,67749.5,0.5520106865370846
SNRPD1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4511.0,4336.0,3709.0,3857.0,3572.0,67749.5,0.5520106865370846
OCLN.rescaled,9535.0,9581.5,9520.0,3649.5,4867.5,5423.0,5038.0,7854.0,4941.0,7348.0,67757.5,0.5519576516135876
LPO.rescaled,1018.0,1289.0,1274.5,425.5,1906.5,12082.0,12066.0,12730.0,12099.0,12872.0,67762.5,0.5519245047864019
ZNF138.rescaled,9535.0,4840.5,9520.0,9554.5,9573.5,4949.0,6174.0,3170.0,5328.0,5118.0,67762.5,0.5519245047864019
RNF213.rescaled,4821.5,13769.0,4815.5,5643.5,9573.5,4130.0,9940.0,4667.0,3969.0,6444.0,67773.0,0.5518548964493118
BTAF1.rescaled,9535.0,4840.5,4815.5,4845.0,9573.5,6524.0,6235.0,7100.0,7383.0,6936.0,67787.5,0.5517587706504734
NFE2L2.rescaled,9535.0,13769.0,9520.0,9554.5,9573.5,3266.0,3153.0,3591.0,2834.0,2993.0,67789.0,0.5517488266023176
SHF.rescaled,1530.0,1050.5,2870.0,1559.5,1551.5,11928.0,11930.0,10749.0,12006.0,12629.0,67803.5,0.5516527008034791
CKAP5.rescaled,4821.5,5640.5,9520.0,13719.0,5674.0,4960.0,7120.0,6285.0,5273.0,4795.0,67808.0,0.5516228686590119
OPRD1.rescaled,1530.0,1050.5,830.0,1888.0,831.5,12632.0,12188.0,12832.0,9904.0,14149.0,67835.0,0.5514438757922091
SAP30BP.rescaled,9535.0,9581.5,4815.5,9554.5,9573.5,4870.0,6910.0,3611.0,4932.0,4454.0,67837.0,0.5514306170613349
ST6GALNAC6.rescaled,9535.0,9581.5,4815.5,5643.5,13494.5,5233.0,5298.0,4608.0,3999.0,5631.0,67839.0,0.5514173583304607
GPR25.rescaled,4821.5,3632.0,4815.5,2875.0,4867.5,12125.0,12022.0,7165.0,4409.0,11115.0,67847.5,0.5513610087242449
CNPY3.rescaled,3637.0,3189.5,4815.5,1888.0,2895.0,8879.0,11734.0,10218.0,9418.0,11188.0,67862.0,0.5512648829254063
SAMD9.rescaled,14413.0,14227.0,5502.5,4081.5,3226.5,5343.0,4538.0,5834.0,4422.0,6278.0,67865.5,0.5512416801463764
RASA3.rescaled,9535.0,9581.5,9520.0,9554.5,4867.5,5848.0,5812.0,4764.0,3678.0,4718.0,67878.5,0.5511554983956936
RNF167.rescaled,4821.5,3632.0,4815.5,4845.0,5674.0,11630.0,9826.0,10481.0,4241.0,7916.0,67882.0,0.5511322956166635
MMP3.rescaled,1244.0,856.5,1539.0,841.5,2343.5,11721.0,12058.0,12236.0,13146.0,11898.0,67883.5,0.5511223515685079
ANKS1A.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3212.0,4153.0,3670.0,2857.0,6233.0,67889.5,0.551082575375885
DOCK7.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4372.0,3887.0,3984.0,4166.0,3720.0,67893.5,0.5510560579141365
CCNI.rescaled,4821.5,9581.5,9520.0,9554.5,9573.5,3488.0,4274.0,4714.0,5517.0,6851.0,67895.0,0.5510461138659808
SIGLEC10.rescaled,4821.5,9581.5,9520.0,3649.5,4867.5,7869.0,9471.0,7208.0,4431.0,6482.0,67901.0,0.5510063376733578
TRAF3IP3.rescaled,2499.0,5574.5,1152.5,2070.0,1425.0,12117.0,10407.0,12241.0,9616.0,10802.0,67904.0,0.5509864495770465
TEDDM1.rescaled,9535.0,4840.5,9520.0,9554.5,9573.5,5045.0,4252.0,5127.0,6938.0,3519.0,67904.5,0.5509831348943279
MMD.rescaled,1244.0,3632.0,1876.0,841.5,1274.5,11831.0,10230.0,11926.0,11783.0,13268.0,67906.0,0.5509731908461721
C12orf71.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3110.0,2665.0,5787.0,4157.0,4424.0,67907.5,0.5509632467980166
PDP1.rescaled,9535.0,9581.5,9520.0,9554.5,4867.5,5623.0,3382.0,6190.0,4965.0,4692.0,67910.5,0.5509433587017051
FAM171A1.rescaled,3637.0,3632.0,2315.0,2314.0,3650.5,9563.0,10232.0,9668.0,11221.0,11680.0,67912.5,0.5509300999708309
PDS5B.rescaled,4821.5,4840.5,4815.5,2875.0,4867.5,7661.0,8891.0,10576.0,7619.0,10953.0,67920.0,0.5508803797300522
KCP.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4701.0,4213.0,4074.0,4548.0,2627.0,67927.5,0.5508306594892737
TSPAN15.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4517.0,4647.0,3697.0,4439.0,2871.0,67935.5,0.5507776245657765
ZNF606.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4083.0,3855.0,4400.0,4004.0,3834.0,67940.5,0.5507444777385908
PLXNA1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4825.0,3941.0,4575.0,3480.0,3359.0,67944.5,0.5507179602768423
MTX2.rescaled,9535.0,9581.5,9520.0,4845.0,9573.5,6706.0,4033.0,4212.0,7294.0,2648.0,67948.0,0.5506947574978123
GCLM.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3735.0,3922.0,5267.0,4263.0,2998.0,67949.5,0.5506848134496566
TTLL3.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3933.0,4061.0,4178.0,4605.0,3409.0,67950.5,0.5506781840842194
APOOL.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3053.0,4160.0,4055.0,5485.0,3435.0,67952.5,0.5506649253533451
CHMP2B.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3678.0,4475.0,4229.0,4246.0,3562.0,67954.5,0.5506516666224709
NKAIN1.rescaled,596.0,1050.5,1654.0,1054.5,597.5,11789.0,14200.0,8158.0,14529.0,14332.0,67960.5,0.550611890429848
CSK.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3619.0,4193.0,4225.0,2513.0,5646.0,67960.5,0.550611890429848
CYP3A7.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3901.0,3266.0,4292.0,4808.0,3932.0,67963.5,0.5505920023335367
ITGB3BP.rescaled,2847.5,2859.5,3641.5,4845.0,4867.5,8698.0,10110.0,11184.0,10036.0,8885.0,67974.0,0.5505223939964466
RAD51D.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3563.0,3451.0,4462.0,4120.0,4626.0,67986.5,0.5504395269284824
MBP.rescaled,9535.0,4136.0,3184.5,1722.0,2343.5,9626.0,8927.0,7450.0,10587.0,10478.0,67989.0,0.5504229535148896
CD300A.rescaled,4110.5,5574.5,4815.5,4845.0,4867.5,9543.0,7966.0,8395.0,8154.0,9747.0,68018.0,0.5502307019172125
TIPIN.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3363.0,3307.0,5067.0,5418.0,3104.0,68023.5,0.5501942404073081
NOP56.rescaled,3637.0,3632.0,3641.5,3649.5,2895.0,10578.0,10831.0,9343.0,9820.0,10000.0,68027.0,0.5501710376282782
NAPSA.rescaled,9535.0,9581.5,9520.0,9554.5,4867.5,5587.0,5741.0,4536.0,4466.0,4639.0,68027.5,0.5501677229455597
SALL1.rescaled,838.0,332.5,830.0,947.0,673.5,13541.0,13933.0,13007.0,12669.0,11258.0,68029.0,0.5501577788974039
GNA11.rescaled,4821.5,9581.5,9520.0,9554.5,4867.5,5817.0,5661.0,5897.0,6456.0,5864.0,68040.0,0.5500848558775954
HLTF.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4195.0,4216.0,3508.0,3459.0,4902.0,68044.5,0.5500550237331283
FIBIN.rescaled,96.0,182.5,241.5,543.0,350.0,13449.0,13298.0,12911.0,13400.0,13575.0,68046.0,0.5500450796849725
FAM181B.rescaled,3207.0,3632.0,3641.5,3649.5,2895.0,11020.0,12229.0,6154.0,12766.0,8860.0,68054.0,0.5499920447614755
SRRM1.rescaled,9535.0,1289.0,1539.0,2047.5,2895.0,8053.0,12192.0,10948.0,10390.0,9174.0,68062.5,0.5499356951552598
CCDC88B.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4566.0,4147.0,3246.0,4794.0,3548.0,68065.5,0.5499158070589483
HOXC9.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4776.0,2960.0,4125.0,3836.0,4608.0,68069.5,0.5498892895971997
DUSP23.rescaled,4821.5,9581.5,9520.0,9554.5,9573.5,4836.0,5259.0,4561.0,4500.0,5868.0,68075.0,0.5498528280872954
IFRD1.rescaled,4821.5,3632.0,9520.0,9554.5,9573.5,7071.0,5876.0,5432.0,4837.0,7761.0,68078.5,0.5498296253082655
RGS17.rescaled,3637.0,1050.5,1876.0,673.0,3650.5,12435.0,12622.0,10652.0,11981.0,9502.0,68079.0,0.549826310625547
SLC15A4.rescaled,9535.0,3632.0,4815.5,9554.5,9573.5,5738.0,6909.0,5909.0,6012.0,6401.0,68079.5,0.5498229959428284
ERF.rescaled,2847.5,2316.0,3641.5,2875.0,2895.0,10696.0,11648.0,12118.0,8729.0,10316.0,68082.0,0.5498064225292355
XPA.rescaled,4821.5,4840.5,9520.0,4845.0,9573.5,5566.0,7118.0,6593.0,8958.0,6262.0,68097.5,0.5497036673649598
ETV4.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2676.0,1486.0,8777.0,6269.0,1132.0,68104.5,0.5496572618068998
ADAM21.rescaled,3637.0,9581.5,9520.0,9554.5,9573.5,3853.0,5335.0,7041.0,4308.0,5703.0,68106.5,0.5496440030760256
ZNF776.rescaled,9535.0,9581.5,9520.0,4845.0,2895.0,6200.0,7055.0,5328.0,6237.0,6911.0,68107.5,0.5496373737105884
GLP1R.rescaled,1877.0,2859.5,2315.0,2314.0,9573.5,10253.0,9458.0,10830.0,8927.0,9708.0,68115.0,0.5495876534698099
CARNS1.rescaled,9535.0,3632.0,4815.5,9554.5,4867.5,7213.0,8065.0,7524.0,5768.0,7142.0,68116.5,0.5495777094216542
KCNA1.rescaled,14386.5,13484.5,13422.5,4074.0,1683.5,5492.0,3087.0,4599.0,3754.0,4144.0,68127.0,0.5495081010845642
MRPL36.rescaled,9535.0,9581.5,13721.0,9554.5,9573.5,3771.0,3750.0,3821.0,2375.0,2450.0,68132.5,0.5494716395746599
FOXD4L3.rescaled,9535.0,4840.5,9520.0,9554.5,9573.5,4945.0,5683.0,6097.0,3829.0,4572.0,68149.5,0.5493589403622285
SYS1.rescaled,1877.0,1905.0,2315.0,3649.5,4867.5,11795.0,12457.0,7879.0,9545.0,11861.0,68151.0,0.5493489963140727
SIX1.rescaled,14223.0,4077.5,13430.5,13930.5,909.0,7692.0,5687.0,3045.0,1566.0,3594.0,68154.5,0.5493257935350429
HMMR.rescaled,4110.5,5548.0,13481.5,13488.5,1425.0,7855.0,7867.0,4269.0,4239.0,5896.0,68179.5,0.5491600593991144
TUBA1A.rescaled,1244.0,1905.0,830.0,1559.5,1906.5,13136.0,12030.0,11916.0,11039.0,12615.0,68181.0,0.5491501153509586
TNFRSF12A.rescaled,1018.0,1289.0,1876.0,1559.5,1274.5,11522.0,12529.0,13473.0,10296.0,13345.0,68182.0,0.5491434859855215
CHN2.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1699.0,4248.0,4748.0,3218.0,6506.0,68183.5,0.5491335419373657
IRAK1BP1.rescaled,2296.0,539.0,830.0,1888.0,438.0,12160.0,11507.0,12558.0,12986.0,12994.0,68196.0,0.5490506748694015
NLGN2.rescaled,2296.0,1574.5,1876.0,1289.0,1032.0,12840.0,12325.0,12000.0,11449.0,11520.0,68201.5,0.5490142133594973
WDR88.rescaled,248.0,293.0,932.5,673.0,438.0,14052.0,11339.0,12777.0,12892.0,14558.0,68202.5,0.54900758399406
TSPYL2.rescaled,9535.0,9581.5,9520.0,13719.0,9573.5,3995.0,4020.0,3176.0,2628.0,2457.0,68205.0,0.5489910105804672
TRIM52.rescaled,838.0,684.0,548.0,543.0,673.5,13635.0,12604.0,13269.0,12949.0,12479.0,68222.5,0.5488749966853173
DBR1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4028.0,3920.0,3892.0,4471.0,4148.0,68223.5,0.5488683673198802
ELOVL4.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4090.0,4025.0,3798.0,2909.0,5637.0,68223.5,0.5488683673198802
MIP.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4078.0,3821.0,3638.0,4773.0,4155.0,68229.5,0.5488285911272572
BRPF1.rescaled,9535.0,4840.5,9520.0,9554.5,9573.5,4419.0,5744.0,4820.0,5276.0,4951.0,68233.5,0.5488020736655088
ADHFE1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2961.0,3650.0,4283.0,4250.0,5325.0,68233.5,0.5488020736655088
SCD5.rescaled,2847.5,3632.0,9520.0,2875.0,4867.5,11368.0,8290.0,9027.0,9903.0,5908.0,68238.0,0.5487722415210416
MCF2L.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4991.0,3512.0,3213.0,4788.0,3972.0,68240.5,0.5487556681074488
TBX19.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,5321.0,3514.0,3516.0,4093.0,4034.0,68242.5,0.5487424093765745
BCL6B.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,1220.0,4277.0,5700.0,5468.0,3820.0,68249.5,0.5486960038185145
MIA.rescaled,13723.5,5640.5,5584.5,13488.5,4867.5,4472.0,4291.0,6799.0,3869.0,5514.0,68249.5,0.5486960038185145
APLNR.rescaled,9535.0,9581.5,9520.0,9554.5,4867.5,5809.0,3955.0,7070.0,3601.0,4767.0,68260.5,0.548623080798706
RFC1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4959.0,4608.0,3241.0,4947.0,2744.0,68263.5,0.5486031927023945
KSR2.rescaled,1530.0,1050.5,1876.0,3649.5,3650.5,13271.0,9206.0,11123.0,10495.0,12417.0,68268.5,0.5485700458752087
PPIB.rescaled,9535.0,4840.5,9520.0,4845.0,9573.5,3312.0,6467.0,6021.0,7516.0,6640.0,68270.0,0.5485601018270532
TMEM200C.rescaled,1371.0,775.5,3151.0,1695.5,1683.5,10845.0,12054.0,12724.0,12644.0,11327.0,68270.5,0.5485567871443345
NLRP8.rescaled,13723.5,9581.5,9520.0,9554.5,9573.5,1167.0,5011.0,1433.0,2790.0,5918.0,68272.0,0.5485468430961788
KRT19.rescaled,4821.5,4840.5,9520.0,9554.5,9573.5,5728.0,6057.0,5995.0,7990.0,4196.0,68276.0,0.5485203256344302
ARG2.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4692.0,3622.0,4522.0,4017.0,3662.0,68279.5,0.5484971228554003
HTR4.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4798.0,4856.0,4449.0,4547.0,1877.0,68291.5,0.5484175704701546
STK25.rescaled,9535.0,5640.5,9520.0,9554.5,9573.5,4879.0,6429.0,3443.0,5928.0,3791.0,68293.5,0.5484043117392803
NEU3.rescaled,9535.0,3632.0,3641.5,2875.0,9573.5,7501.0,9402.0,8222.0,7720.0,6202.0,68304.0,0.5483347034021904
STARD10.rescaled,1530.0,2859.5,3641.5,2875.0,3650.5,9616.0,10820.0,11724.0,12039.0,9552.0,68307.5,0.5483115006231604
ALDH9A1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2926.0,3337.0,2605.0,6535.0,5146.0,68313.5,0.5482717244305375
MCMBP.rescaled,9535.0,3632.0,9520.0,9554.5,9573.5,4859.0,5157.0,5145.0,5921.0,5430.0,68327.0,0.5481822279971361
DCD.rescaled,2296.0,1905.0,3641.5,2875.0,673.5,8774.0,13819.0,10200.0,11744.0,12402.0,68330.0,0.5481623399008246
PRCP.rescaled,4821.5,9581.5,9520.0,13719.0,9573.5,3828.0,5142.0,4980.0,4192.0,2974.0,68331.5,0.5481523958526691
NRXN3.rescaled,1877.0,1574.5,2315.0,1289.0,831.5,9787.0,12452.0,13225.0,12118.0,12871.0,68340.0,0.5480960462464533
ZNF813.rescaled,4821.5,9581.5,9520.0,9554.5,9573.5,6177.0,4858.0,4042.0,4719.0,5494.0,68341.0,0.5480894168810162
LRRC8C.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4461.0,4633.0,3875.0,3367.0,4259.0,68359.5,0.547966773620429
PDE2A.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4116.0,3775.0,4043.0,4212.0,4453.0,68363.5,0.5479402561586805
PPM1E.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4503.0,2652.0,5227.0,5047.0,3170.0,68363.5,0.5479402561586805
SIRT3.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2340.0,3405.0,4530.0,5021.0,5306.0,68366.5,0.547920368062369
VGLL3.rescaled,681.5,2316.0,1876.0,2875.0,1551.5,12847.0,12877.0,12362.0,10112.0,10871.0,68369.0,0.5479037946487761
HNRNPA1L2.rescaled,9535.0,4840.5,4815.5,3649.5,3650.5,6941.0,8085.0,7423.0,8346.0,11087.0,68373.0,0.5478772771870277
FITM2.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4969.0,4200.0,3832.0,4649.0,2965.0,68379.5,0.5478341863116862
VSNL1.rescaled,1698.5,684.0,932.5,1559.5,542.5,13735.0,12970.0,13119.0,12530.0,10610.0,68381.0,0.5478242422635305
DDIT3.rescaled,2296.0,2859.5,1876.0,2314.0,1906.5,8310.0,11606.0,12087.0,12524.0,12602.0,68381.0,0.5478242422635305
HCK.rescaled,9535.0,4840.5,9520.0,9554.5,3650.5,6420.0,5719.0,6580.0,7320.0,5243.0,68382.5,0.5478142982153749
NRP2.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3837.0,4701.0,3739.0,4425.0,3917.0,68383.5,0.5478076688499377
CEBPB.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4373.0,5310.0,3510.0,1592.0,5839.0,68388.5,0.547774522022752
MRPL55.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4360.0,4027.0,6212.0,2819.0,3210.0,68392.5,0.5477480045610035
PDGFC.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4847.0,3838.0,4416.0,4081.0,3451.0,68397.5,0.5477148577338178
TBX18.rescaled,9535.0,9581.5,9520.0,4845.0,9573.5,6021.0,5249.0,5004.0,4332.0,4739.0,68400.0,0.5476982843202249
TUSC3.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,5845.0,2168.0,4366.0,4011.0,4257.0,68411.5,0.5476220466176978
DDX11.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3811.0,4942.0,3299.0,3742.0,4857.0,68415.5,0.5475955291559491
PRICKLE3.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4021.0,4321.0,4424.0,3928.0,3964.0,68422.5,0.5475491235978892
DUSP16.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,5417.0,2582.0,3940.0,4026.0,4695.0,68424.5,0.547535864867015
RNF217.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3994.0,3768.0,3189.0,4720.0,4992.0,68427.5,0.5475159767707035
G6PD.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,3390.0,4269.0,3841.0,4509.0,4663.0,68436.5,0.5474563124817693
MAPKBP1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,6890.0,2387.0,3432.0,5649.0,2315.0,68437.5,0.5474496831163321
MXRA7.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4860.0,4487.0,3442.0,3068.0,4832.0,68453.5,0.5473436132693379
ITGA1.rescaled,4821.5,3632.0,4815.5,4845.0,9573.5,8662.0,8597.0,8589.0,6860.0,8060.0,68455.5,0.5473303545384636
MTRNR2L8.rescaled,9535.0,9581.5,3641.5,4845.0,9573.5,9404.0,6755.0,4543.0,6166.0,4412.0,68456.5,0.5473237251730265
USF1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4070.0,4568.0,3104.0,4546.0,4409.0,68461.5,0.5472905783458407
TGFBRAP1.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4136.0,4087.0,3766.0,4610.0,4098.0,68461.5,0.5472905783458407
CPSF1.rescaled,1877.0,1905.0,3641.5,3649.5,2895.0,10496.0,7782.0,12009.0,12656.0,11551.0,68462.0,0.5472872636631222
GAS8.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,2478.0,4091.0,5704.0,4460.0,3970.0,68467.5,0.5472508021532179
TNFSF8.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,4590.0,3913.0,5397.0,4615.0,2196.0,68475.5,0.5471977672297208
SPEN.rescaled,1530.0,1289.0,1539.0,841.5,1032.0,12596.0,13165.0,12008.0,11747.0,12729.0,68476.5,0.5471911378642836
CHST11.rescaled,9535.0,9581.5,9520.0,9554.5,9573.5,5533.0,3846.0,3525.0,3435.0,4374.0,68477.5,0.5471845084988465
CCDC71L.rescaled,13723.5,9581.5,9520.0,9554.5,9573.5,2638.0,3531.0,4401.0,3175.0,2784.0,68482.0,0.5471546763543793
