,accuracy_diff_4.pkl,accuracy_diff_5.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,r2_diff_5.pkl,rank_total,rank_fin
RAD51.rescaled,248.0,251.0,331.5,188.5,277.5,546.0,369.0,409.0,296.0,690.0,3606.5,0.9772380737715786
EGR3.rescaled,1244.0,539.0,548.0,841.5,277.5,33.0,26.0,39.0,42.0,43.0,3633.0,0.9770623955874944
CYP24A1.rescaled,321.5,251.0,331.5,543.0,673.5,268.0,206.0,419.0,283.0,360.0,3656.5,0.9769066054997216
MAS1L.rescaled,1018.0,539.0,548.0,253.5,831.5,75.0,80.0,136.0,79.0,98.0,3658.0,0.9768966614515658
PHKA1.rescaled,536.5,427.0,670.5,425.5,673.5,242.0,204.0,175.0,181.0,200.0,3735.0,0.976386200312906
SMARCA1.rescaled,536.5,856.5,830.0,425.5,542.5,76.0,138.0,129.0,176.0,78.0,3788.0,0.9760348439447376
FGFR3.rescaled,96.0,31.5,28.5,56.0,14.0,615.0,551.0,1267.0,604.0,579.0,3842.0,0.975676858211132
MXI1.rescaled,423.5,539.0,670.5,543.0,438.0,326.0,148.0,189.0,165.0,457.0,3899.0,0.975298984381215
FOSB.rescaled,536.5,1905.0,331.5,425.5,673.5,4.0,13.0,10.0,5.0,6.0,3910.0,0.9752260613614064
ABCC8.rescaled,681.5,1289.0,331.5,543.0,831.5,83.0,106.0,23.0,71.0,35.0,3994.5,0.974665879981968
LGALS9C.rescaled,1384.0,606.0,604.0,603.5,251.0,100.0,152.0,91.0,127.0,104.0,4022.5,0.9744802577497282
ORM2.rescaled,591.0,684.0,125.5,594.0,242.5,172.0,190.0,193.0,721.0,573.0,4086.0,0.9740592930444698
ZNF492.rescaled,248.0,539.0,830.0,188.5,350.0,317.0,525.0,456.0,381.0,300.0,4134.5,0.9737377688207683
KLHDC7A.rescaled,78.0,377.0,483.5,23.0,183.0,497.0,545.0,373.0,641.0,1033.0,4233.5,0.9730814616424917
FOS.rescaled,1244.0,1574.5,241.5,543.0,542.5,23.0,57.0,18.0,24.0,10.0,4277.5,0.9727897695632574
MT1A.rescaled,479.0,539.0,918.0,366.5,438.0,391.0,519.0,184.0,382.0,195.0,4411.5,0.9719014345946806
SFTA2.rescaled,681.5,427.0,438.0,425.5,213.0,358.0,580.0,465.0,384.0,482.0,4454.0,0.971619686563602
MMP27.rescaled,760.5,293.0,608.0,158.0,213.0,522.0,508.0,397.0,466.0,544.0,4469.5,0.9715169313993264
RNF183.rescaled,364.5,1050.5,830.0,841.5,597.5,108.0,132.0,56.0,335.0,198.0,4513.0,0.9712285540028108
S100A7.rescaled,137.5,90.0,9.0,6.5,145.0,721.0,514.0,1228.0,879.0,826.0,4556.0,0.9709434912890138
ATAD2.rescaled,248.0,251.0,279.5,134.5,97.0,1133.0,645.0,725.0,498.0,560.0,4571.0,0.9708440508074568
S1PR5.rescaled,838.0,332.5,548.0,134.5,673.5,323.0,411.0,369.0,662.0,334.0,4625.5,0.9704827503911324
RGS9BP.rescaled,189.5,90.0,438.0,134.5,542.5,471.0,487.0,391.0,931.0,954.0,4628.5,0.9704628622948211
IQCA1.rescaled,681.5,427.0,438.0,543.0,242.5,443.0,516.0,589.0,379.0,391.0,4650.0,0.9703203309379226
EGR1.rescaled,536.5,684.0,1274.5,1559.5,542.5,24.0,9.0,27.0,18.0,18.0,4693.0,0.9700352682241256
PEX5L.rescaled,248.0,182.5,85.0,134.5,542.5,581.0,1416.0,599.0,371.0,566.0,4725.5,0.9698198138474186
MRPL53.rescaled,248.0,251.0,51.5,253.5,277.5,551.0,771.0,559.0,1020.0,841.0,4823.5,0.9691701360345788
SVOPL.rescaled,423.5,251.0,331.5,757.5,831.5,475.0,252.0,605.0,306.0,595.0,4828.0,0.9691403038901116
TONSL.rescaled,61.5,57.5,125.5,134.5,145.0,1218.0,673.0,963.0,433.0,1055.0,4866.0,0.9688883880035004
PROM2.rescaled,61.5,57.5,51.5,33.5,14.0,1079.0,992.0,622.0,919.0,1038.0,4868.0,0.968875129272626
PRLR.rescaled,189.5,332.5,241.5,56.0,97.0,371.0,829.0,824.0,663.0,1294.0,4897.5,0.9686795629922303
TRPT1.rescaled,137.5,332.5,241.5,88.5,213.0,1092.0,908.0,636.0,698.0,621.0,4968.0,0.968212192728912
CASP14.rescaled,838.0,684.0,830.0,332.5,673.5,301.0,807.0,51.0,409.0,97.0,5023.0,0.9678475776298692
PDZK1.rescaled,1018.0,856.5,1876.0,425.5,831.5,17.0,4.0,7.0,7.0,11.0,5053.5,0.9676453819840364
GJB3.rescaled,536.5,332.5,1033.5,1054.5,542.5,332.0,247.0,336.0,239.0,407.0,5060.5,0.9675989764259764
TRPV6.rescaled,1244.0,1574.5,438.0,673.0,936.5,30.0,31.0,87.0,32.0,61.0,5107.0,0.9672907109331494
GRM3.rescaled,137.5,251.0,51.5,56.0,59.0,1043.0,823.0,600.0,1512.0,604.0,5137.0,0.9670918299700352
BEX4.rescaled,423.5,539.0,331.5,188.5,350.0,825.0,560.0,455.0,624.0,883.0,5179.5,0.9668100819389568
PIGA.rescaled,536.5,684.0,331.5,841.5,350.0,649.0,499.0,461.0,405.0,465.0,5222.5,0.9665250192251598
AGT.rescaled,838.0,427.0,175.5,188.5,1150.0,321.0,1038.0,187.0,310.0,599.0,5234.0,0.9664487815226328
BATF2.rescaled,423.5,684.0,548.0,1706.0,1425.0,119.0,98.0,69.0,106.0,124.0,5302.5,0.9659946699901886
MBOAT4.rescaled,248.0,251.0,175.5,253.5,350.0,1553.0,612.0,800.0,666.0,418.0,5327.0,0.9658322505369786
IGSF22.rescaled,905.0,1144.0,918.0,543.0,1128.5,85.0,92.0,153.0,324.0,80.0,5372.5,0.9655306144095888
YPEL4.rescaled,321.5,31.5,331.5,134.5,145.0,716.0,1238.0,763.0,870.0,834.0,5385.0,0.9654477473416244
GPR19.rescaled,137.5,90.0,241.5,332.5,145.0,1174.0,759.0,1042.0,837.0,648.0,5406.5,0.965305215984726
TP63.rescaled,1530.0,764.5,1654.0,746.0,245.0,164.0,65.0,85.0,177.0,83.0,5513.5,0.964595873882952
MTRNR2L4.rescaled,681.5,427.0,548.0,425.5,542.5,420.0,744.0,595.0,793.0,356.0,5532.5,0.9644699159396464
FAM83B.rescaled,423.5,539.0,548.0,841.5,145.0,388.0,157.0,236.0,1715.0,549.0,5542.0,0.9644069369679934
PRTN3.rescaled,364.5,251.0,548.0,332.5,392.5,1560.0,564.0,160.0,1116.0,361.0,5649.5,0.9636942801835008
OR52N4.rescaled,681.5,1050.5,830.0,477.5,542.5,418.0,238.0,339.0,747.0,484.0,5808.0,0.962643525761714
DLX1.rescaled,1244.0,1050.5,1033.5,1559.5,673.5,127.0,39.0,35.0,35.0,26.0,5823.0,0.962544085280157
PCDHA8.rescaled,137.5,251.0,241.5,134.5,213.0,1606.0,1496.0,536.0,505.0,703.0,5823.5,0.9625407705974384
PEG10.rescaled,1877.0,1574.5,670.5,543.0,1032.0,25.0,43.0,64.0,49.0,42.0,5920.0,0.9619010368327544
