	SHAP Value
NPY2R.rescaled	-0.000544101491571536
TCEAL7.rescaled	-0.0005438467837368595
MYL7.rescaled	-0.0005436836938891603
NBEA.rescaled	-0.0005434621279987057
TBC1D9.rescaled	-0.000543134032881861
UBE2C.rescaled	0.0005429396467479697
ABLIM3.rescaled	-0.0005424768127092781
IGSF10.rescaled	-0.0005416886821668266
DEPDC1.rescaled	0.0005409932747442673
KRT14.rescaled	-0.0005406779428842783
LRG1.rescaled	-0.0005400956633976827
USHBP1.rescaled	-0.0005398539170845758
KDM4B.rescaled	-0.0005398107949261752
SCN4B.rescaled	-0.0005394212096616038
TTC28.rescaled	-0.0005389231021825913
NEIL3.rescaled	0.0005379265355388593
SELP.rescaled	-0.0005377802278176013
KIF11.rescaled	0.0005376663862461181
MKRN3.rescaled	0.0005376477424294995
LUZP2.rescaled	-0.0005374970236562731
NTN4.rescaled	-0.0005373357723281067
SCUBE1.rescaled	-0.0005372507954200855
GDF10.rescaled	-0.00053723292222469
LMNB1.rescaled	0.0005366867392027337
IL21R.rescaled	0.0005357541283694952
NUSAP1.rescaled	0.0005357163930120738
ALYREF.rescaled	0.0005348895440412779
ECE2.rescaled	0.0005348519737303833
RRM2.rescaled	0.0005343893111315019
TACR1.rescaled	-0.000533831488033136
PEAR1.rescaled	-0.0005336065805747318
GNG11.rescaled	-0.0005334816468083734
BTNL9.rescaled	-0.0005333445583825286
OSR1.rescaled	-0.0005331570605402187
FXYD1.rescaled	-0.0005330484996688262
C14orf132.rescaled	-0.0005329233637132363
FCER1A.rescaled	-0.0005328215592111154
HLF.rescaled	-0.0005326293524174706
PLAC9.rescaled	-0.0005317514513815437
GIPC2.rescaled	-0.0005310165077645361
CDKN3.rescaled	0.0005304784286665195
TPRG1.rescaled	-0.000530431503456211
ZBP1.rescaled	0.0005301893669781825
HSPA12B.rescaled	-0.0005301504970584058
PLCXD3.rescaled	-0.0005301396507450843
CTSG.rescaled	-0.0005300508218198497
ADAMTS8.rescaled	-0.0005299796038382723
HMMR.rescaled	0.0005289732213308942
CENPN.rescaled	0.0005289233198272319
SHCBP1.rescaled	0.0005288321306590202
RELT.rescaled	0.0005285068287873837
CBX2.rescaled	0.0005280820744304459
NDNF.rescaled	-0.0005277556450163696
ISG15.rescaled	0.0005277542780902057
CCDC74B.rescaled	-0.0005274002652824632
SPEF1.rescaled	-0.0005273614834007734
CDCA7.rescaled	0.0005273271965393765
CKAP2L.rescaled	0.0005272155395044035
EGF.rescaled	-0.0005269178881890872
REEP6.rescaled	-0.0005267352984410027
GREB1.rescaled	-0.0005265188598251501
PSAT1.rescaled	0.0005264691955801962
CCL4L2.rescaled	0.0005263644213593206
HJURP.rescaled	0.0005263539068077232
AKR7A3.rescaled	-0.0005262052314624675
TGFBR3.rescaled	-0.0005258897458884226
ANGPTL7.rescaled	-0.0005258831735905147
CA4.rescaled	-0.00052546174107237
FAT4.rescaled	-0.0005252518113220475
LRP8.rescaled	0.0005246552335117725
TPCN1.rescaled	-0.0005244593902978981
FANK1.rescaled	-0.0005243180786089743
ASPA.rescaled	-0.0005235658635986938
KPNA2.rescaled	0.0005231512398127113
NME5.rescaled	-0.000523059768179437
E2F2.rescaled	0.0005229797870097588
CCL7.rescaled	0.0005229728373327745
FAM83D.rescaled	0.0005227165445517984
RGS22.rescaled	-0.0005224619122286523
SDR16C5.rescaled	-0.0005224577562237231
F7.rescaled	-0.0005221927389673875
APH1B.rescaled	-0.0005221696461184375
CLEC3B.rescaled	-0.0005218935387143406
INPP4B.rescaled	-0.0005217869760417978
CENPK.rescaled	0.0005213096166687826
AQP9.rescaled	0.0005209406398164895
CCNB1.rescaled	0.0005208930278682786
ANXA9.rescaled	-0.0005201056562819914
PGM5.rescaled	-0.0005193459254561157
FOXP3.rescaled	0.0005183522864945809
AQP1.rescaled	-0.0005182888253232607
RAMP2.rescaled	-0.0005180307541744618
KIF23.rescaled	0.0005177684743047684
CITED1.rescaled	-0.0005176407097973814
FGF10.rescaled	-0.0005175362854341865
UBE2S.rescaled	0.0005173711559550822
LEPR.rescaled	-0.0005170781337366372
RACGAP1.rescaled	0.0005166975495373486
PACRG.rescaled	-0.000516603594351928
RBMS3.rescaled	-0.0005164172105799627
RUNDC3B.rescaled	-0.0005160536050801149
NPFFR1.rescaled	0.000516040579646792
ACACB.rescaled	-0.0005156896916982041
LAMA3.rescaled	-0.0005153548116743701
EME1.rescaled	0.0005152653856034108
CAV1.rescaled	-0.0005150074014818952
CYP20A1.rescaled	-0.0005149580166563186
TFF3.rescaled	-0.0005147750345479925
CASP12.rescaled	-0.000514746401123432
CKS2.rescaled	0.00051470163391954
FHL5.rescaled	-0.0005137107337399875
OIP5.rescaled	0.0005134708892337002
RANBP3L.rescaled	-0.000512972275388519
CALML3.rescaled	-0.0005129234525031437
LTA.rescaled	0.0005129071952895931
TOP2A.rescaled	0.000512580174185816
JAM2.rescaled	-0.0005125632881628423
DNMBP.rescaled	-0.000512420831678356
IFI30.rescaled	0.0005124134500595622
NEIL1.rescaled	-0.0005120817445586434
NEK11.rescaled	-0.0005115383464811382
GPR84.rescaled	0.0005115381843783615
CENPF.rescaled	0.0005114967840949009
C6.rescaled	-0.00051090894985633
HRK.rescaled	0.0005106653033232202
TMEM63C.rescaled	-0.0005106286777819173
ZNF843.rescaled	-0.0005104916945709056
CLDN11.rescaled	-0.000510353990882599
TMEM171.rescaled	0.0005102100412171279
CLDN5.rescaled	-0.0005100511770056989
GPRASP1.rescaled	-0.0005096433902603794
FAM86B1.rescaled	-0.0005094526315682024
LCA5.rescaled	-0.0005093642214236382
PRC1.rescaled	0.0005093526928202057
ALDH1A2.rescaled	-0.0005088620598734249
RABEP1.rescaled	-0.000508655337408501
CBLN4.rescaled	-0.0005084803300559595
F10.rescaled	-0.0005084328534968696
PCDHGA2.rescaled	-0.000507965825803875
FBXO36.rescaled	-0.0005074283679251449
HPSE2.rescaled	-0.000506554522839031
GRP.rescaled	-0.0005065375827529265
CBX7.rescaled	-0.000506354081520182
BIRC5.rescaled	0.0005061288461642163
SLITRK6.rescaled	-0.0005057792647878098
SEMA3E.rescaled	-0.0005057290508086795
PSMD2.rescaled	0.0005055928152894702
SLC7A8.rescaled	-0.000505549487685393
TRIM66.rescaled	-0.0005050772429263359
KERA.rescaled	-0.0005050024460040049
CALCOCO1.rescaled	-0.0005047902672449634
ZBTB16.rescaled	-0.0005041711272036149
ARHGAP11A.rescaled	0.0005041604151491194
MEOX1.rescaled	-0.0005037096070069408
XIRP1.rescaled	0.0005036495618524962
ADH1A.rescaled	-0.0005035602931706517
CENPE.rescaled	0.000503146618181487
UNC119B.rescaled	-0.0005031254401410888
FGF18.rescaled	-0.0005030123100664925
DST.rescaled	-0.0005026750894587884
C3orf18.rescaled	-0.0005021194377066658
EFCAB1.rescaled	-0.0005021090106652103
CORO2B.rescaled	-0.000502098571574198
JAM3.rescaled	-0.0005020354300435038
BAIAP3.rescaled	-0.0005018798703709289
STON2.rescaled	-0.0005016539774156058
MCM4.rescaled	0.0005015696267040027
ITGB7.rescaled	0.0005015385829769694
CDT1.rescaled	0.000501346886686648
LYVE1.rescaled	-0.0005012059038387985
SEC14L2.rescaled	-0.0005011236770840236
RHOJ.rescaled	-0.0005010482330473154
GAPDH.rescaled	0.0005007531914571172
ALDH1L1.rescaled	-0.0005006634258720951
APOBEC3B.rescaled	0.0005003671548787758
DNAH5.rescaled	-0.0004997845101336272
CSRNP3.rescaled	-0.0004992984527764283
EPHX2.rescaled	-0.0004992598475736227
PDE2A.rescaled	-0.0004992165523613599
TGFB3.rescaled	-0.0004990315906207207
HOXB5.rescaled	-0.0004985132202611675
ACADSB.rescaled	-0.0004980878695715788
SLC2A6.rescaled	0.0004978375430444041
LYPD6B.rescaled	-0.00049736177738211
FRY.rescaled	-0.0004973170697916894
TBX21.rescaled	0.0004971950051170067
HEPACAM.rescaled	-0.0004971031064450776
GLYAT.rescaled	-0.0004970361954904773
MLXIPL.rescaled	-0.0004967315958123409
PLA2G4F.rescaled	-0.0004965958656757756
TRIP13.rescaled	0.0004962314878305744
HPDL.rescaled	0.0004958099104370229
SKA1.rescaled	0.0004957682731744858
HK3.rescaled	0.0004957278289758396
C17orf97.rescaled	-0.0004956307282755445
IRS1.rescaled	-0.0004951579610511294
AK7.rescaled	-0.0004947757936804121
ADH1C.rescaled	-0.0004946982133692401
DNAJC12.rescaled	-0.0004945665251423656
BCL2A1.rescaled	0.0004945540425706017
MTUS1.rescaled	-0.0004942818767450635
PTPN21.rescaled	-0.0004940805296315109
BCAM.rescaled	-0.0004939357715266653
CA12.rescaled	-0.0004938566911813634
CYP4Z1.rescaled	-0.0004935929282000306
MYO1G.rescaled	0.0004933813114205119
SLAMF8.rescaled	0.0004932020791871544
NDC80.rescaled	0.000493008771720597
RFC4.rescaled	0.0004928734897489577
SLIT3.rescaled	-0.0004927331062110883
MMRN2.rescaled	-0.0004924880929629496
MUC1.rescaled	-0.0004922298216201935
SOX11.rescaled	0.0004917325640959199
SEMA3G.rescaled	-0.0004914772293527912
AGAP11.rescaled	-0.0004913295664508285
ZBTB20.rescaled	-0.0004913132003298673
SH3D19.rescaled	-0.0004913032490458409
SHE.rescaled	-0.0004911115460033929
CYBRD1.rescaled	-0.0004907888594180993
MYOC.rescaled	-0.000490601568838362
ARHGEF15.rescaled	-0.0004901720513062445
PDCD1.rescaled	0.0004901213931165563
MX1.rescaled	0.0004900949157607866
SH2D2A.rescaled	0.0004896930936064063
SERP2.rescaled	-0.0004896293305949995
TOM1L2.rescaled	-0.0004895034969633296
MAS1L.rescaled	-0.0004892332743547491
ZNF596.rescaled	-0.0004891292372793522
RUNDC1.rescaled	-0.0004890898622455828
HMBOX1.rescaled	-0.0004889975717869927
MAB21L1.rescaled	-0.0004885318466065555
TFEC.rescaled	0.0004883849827590732
DNALI1.rescaled	-0.00048826411864453167
SORCS2.rescaled	-0.0004874241786871401
MMP23B.rescaled	-0.0004873426161815439
CD274.rescaled	0.0004872520167973548
MFSD2B.rescaled	0.00048721025977431536
SLC26A5.rescaled	-0.00048709365984457836
THSD7B.rescaled	-0.000486922583828063
FLRT2.rescaled	-0.00048677925983069804
HSPA2.rescaled	-0.0004864679440626932
EPSTI1.rescaled	0.0004864104972148036
HORMAD1.rescaled	0.0004863973286413315
NPNT.rescaled	-0.00048614397753298145
SH3BGRL2.rescaled	-0.0004857161227363817
TMEM100.rescaled	-0.0004855066701449182
F2RL2.rescaled	-0.000485156851556089
