	SHAP Value
NXPH3.rescaled	-0.0005909727811849356
ANGPTL7.rescaled	-0.0005907826870003041
CARD17.rescaled	0.0005907085612418803
ADAM33.rescaled	-0.0005892575226049642
SCNN1A.rescaled	-0.0005885514793430829
TROAP.rescaled	0.0005882844687522347
AGAP11.rescaled	-0.000588173700891875
ICOS.rescaled	0.000588066926350432
ESPL1.rescaled	0.0005880350832462967
SELP.rescaled	-0.0005877457048288608
ABCA9.rescaled	-0.0005876780486379528
GBP5.rescaled	0.0005870975458706503
GPIHBP1.rescaled	-0.0005870660683000616
FAM72D.rescaled	0.0005869331561500242
NAT1.rescaled	-0.000586419075113572
SYTL5.rescaled	-0.0005862999671346747
ADAMTS8.rescaled	-0.0005856980329445668
SMYD1.rescaled	-0.0005855370203453996
FAM47E.rescaled	-0.0005851712437033152
EXO1.rescaled	0.000585068781363486
MKRN3.rescaled	0.0005843461586571671
DEPDC1B.rescaled	0.0005843199333226672
COL22A1.rescaled	0.0005834207647845881
ATP1A2.rescaled	-0.0005833076346075613
PLAT.rescaled	-0.0005831495944714454
TPCN1.rescaled	-0.0005825419048175169
PLIN1.rescaled	-0.0005821879131084906
GBP1.rescaled	0.0005820847712931954
ZMYND10.rescaled	-0.0005816434153322524
NLGN1.rescaled	-0.000581489203301786
HLF.rescaled	-0.0005814280319302755
CBX7.rescaled	-0.0005813599678844044
SH3BGRL2.rescaled	-0.0005812435730362771
KCNJ11.rescaled	-0.0005808668905612365
CALCOCO1.rescaled	-0.0005807295785953542
PNPLA7.rescaled	-0.0005806674359475571
CXCL10.rescaled	0.0005802911497262607
LDLRAD2.rescaled	-0.000579400084775951
C16orf89.rescaled	-0.0005793348034816044
SOX11.rescaled	0.0005790436413229337
GRIK3.rescaled	-0.0005790243094132958
STEAP4.rescaled	-0.0005788824143706919
FOXP3.rescaled	0.0005787121517657703
CDCA3.rescaled	0.0005786270603932212
ADCYAP1R1.rescaled	-0.000578485119515417
HPSE2.rescaled	-0.0005784615623825422
NPY1R.rescaled	-0.0005776339659526992
MARCO.rescaled	0.0005774290466062672
CACNA1D.rescaled	-0.0005766077919230541
HK3.rescaled	0.0005765327776200451
SLC6A4.rescaled	-0.000575766708751193
TMC5.rescaled	-0.0005753738232986757
RAD51.rescaled	0.0005742735554786413
TFF1.rescaled	-0.0005741986675038928
RELT.rescaled	0.000573755218431794
COL14A1.rescaled	-0.0005732820259871283
CALML3.rescaled	-0.0005731298977512972
FLVCR2.rescaled	0.0005730637888385808
GRPR.rescaled	-0.0005730422432973911
ACACB.rescaled	-0.0005728757689942588
CASQ2.rescaled	-0.0005728736912551771
EFCAB1.rescaled	-0.0005728096504619007
PLCXD3.rescaled	-0.0005728082573818874
EBF2.rescaled	-0.0005727349030721963
WDR93.rescaled	-0.000572581525919263
DEGS2.rescaled	-0.0005723058453909007
IRX2.rescaled	-0.0005717745792967172
TTK.rescaled	0.0005715658200879662
DNAH5.rescaled	-0.0005715334298488946
GREB1L.rescaled	-0.000570920756950644
PHYHIP.rescaled	-0.000570775065124491
LRRN4CL.rescaled	-0.0005705044184058737
ADIPOQ.rescaled	-0.0005697406692430035
SCN3B.rescaled	-0.0005696886454863876
RUNDC3B.rescaled	-0.0005694621622789814
RRM2.rescaled	0.0005694143669497952
