	shap_value
OAS1.rescaled	0.0009641197410342565
SIGLEC11.rescaled	-0.000964117819772884
ARHGAP26.rescaled	0.0009629468606626565
SOWAHB.rescaled	0.0009628649080399469
ATP2C2.rescaled	-0.0009625397594337372
NAT8B.rescaled	0.0009601753585402195
CPNE4.rescaled	-0.000959658077347729
BCL2L14.rescaled	0.0009570102310304259
IGFL1.rescaled	0.000954160381864431
SPNS3.rescaled	-0.0009539976019824455
E2F7.rescaled	0.0009531617147796916
ETV7.rescaled	0.0009514973194905678
GPR87.rescaled	-0.000950763293552789
EPN3.rescaled	-0.0009501598851748763
PEG3.rescaled	0.0009499882785829409
SPDYC.rescaled	0.0009498855235557636
CD6.rescaled	0.0009481827100511867
GREB1.rescaled	0.0009471407941865287
TAS2R43.rescaled	0.0009459745377236604
NEFL.rescaled	0.0009456986881552551
UGT2B17.rescaled	0.0009425285526787776
TUBA3E.rescaled	-0.0009419494411215139
ZNF462.rescaled	0.0009416112341273812
DCTN1.rescaled	0.0009408361266846423
ZNF30.rescaled	-0.0009398750947332049
CLEC12A.rescaled	-0.0009383254266555577
KLK6.rescaled	0.0009383253962838532
ORC6.rescaled	0.0009377120784054563
GMNN.rescaled	0.0009370081835927764
DNAH9.rescaled	-0.0009369605727399795
MYC.rescaled	0.00093615188014341
LRP8.rescaled	0.0009346246056447207
CDH3.rescaled	0.0009344441176337717
C11orf94.rescaled	0.0009325581134222808
SLC15A1.rescaled	0.0009289883188262374
TNFRSF11A.rescaled	-0.0009285735500703135
ZBTB16.rescaled	-0.000926968322200216
MMP25.rescaled	0.0009247456087116152
RAPGEF3.rescaled	0.0009244490947763129
INPP4B.rescaled	0.0009238085670353177
MRPS30.rescaled	0.0009231773812409712
GDPD1.rescaled	-0.000922842222125172
HPSE.rescaled	0.0009170754899401952
BARX1.rescaled	-0.0009149496670337342
SH3RF2.rescaled	-0.0009145056905864697
FAM161B.rescaled	0.0009139580283807867
FAM157B.rescaled	0.0009107730973678748
SLA.rescaled	0.0009098974360753786
JMJD7.rescaled	0.0009091023811476185
LRRC17.rescaled	0.0009083974358547518
CD80.rescaled	0.000908050779613188
LONRF2.rescaled	0.0009079809008006177
RRAS2.rescaled	-0.0009072146657073337
CLEC4D.rescaled	0.0009064674076900856
E2F1.rescaled	0.0009050717252266695
IDO1.rescaled	0.0009045355640438402
HCAR2.rescaled	-0.0009043333187296824
FPGS.rescaled	-0.0009042572832685978
SLC1A1.rescaled	-0.0009030530072458576
CBLN2.rescaled	-0.0009030117914681811
STIL.rescaled	0.0009019624066735845
B3GNT7.rescaled	0.0009004655788044129
RDM1.rescaled	0.0008980541291857987
SERPINC1.rescaled	0.0008972908593856472
IL12RB2.rescaled	0.0008966211119404618
CYP4F8.rescaled	-0.0008962578474535338
SPATC1.rescaled	0.0008943354303036857
TNFAIP3.rescaled	0.0008938770814550744
MIDN.rescaled	0.0008931570052741013
KLHDC7B.rescaled	0.0008927260797630446
NUDCD1.rescaled	0.0008918659114688155
EIF2AK2.rescaled	0.0008914530542682052
BNIP1.rescaled	-0.0008907911674638615
MEGF9.rescaled	-0.0008899035443671377
AMACR.rescaled	0.0008895764729751906
SPESP1.rescaled	0.0008884299557207922
MYRIP.rescaled	-0.0008876167228873471
ECEL1.rescaled	0.0008847601291300565
FOXD4L6.rescaled	0.0008845800358255117
HHAT.rescaled	0.000883661300905906
CCT8.rescaled	0.000882878676023415
NCAPG.rescaled	0.0008826644971514971
SCARA5.rescaled	-0.0008825369552691989
SLC14A2.rescaled	0.0008815193356221565
SLC9A1.rescaled	0.0008811274859774665
ESM1.rescaled	-0.000880796895235483
RPL30.rescaled	0.0008796802398147002
CELSR1.rescaled	0.0008769671121158707
ASF1B.rescaled	0.0008766124564164811
GPD1L.rescaled	0.0008763749615062316
RHCG.rescaled	0.0008759103241240804
ZFYVE1.rescaled	0.0008743443446079835
SOWAHA.rescaled	0.0008743294868299454
ECT2.rescaled	0.0008742050122053046
ASPM.rescaled	0.0008734358021689595
SYNGR4.rescaled	-0.0008728130741800168
C19orf81.rescaled	-0.0008709263400371496
PLAC1.rescaled	-0.0008706970840906911
FOXP3.rescaled	0.00087018817731134
SIRPG.rescaled	0.0008700461951829796
TNFSF8.rescaled	0.000869322199704452
PCSK4.rescaled	0.0008691701618408507
CHRDL1.rescaled	-0.0008689693516905968
RAB26.rescaled	0.0008686972146898627
CST1.rescaled	-0.0008678794434132232
S100A7A.rescaled	0.0008671124844135479
CYB5R1.rescaled	0.0008668156341329546
EYA4.rescaled	-0.0008664628243249888
LRRC3.rescaled	0.0008662837063097717
ERCC6L.rescaled	0.0008632259912445678
DHRS4L1.rescaled	-0.0008623449980371882
EML4.rescaled	0.0008604747535054741
SLC34A2.rescaled	0.0008595079495382402
TKT.rescaled	0.0008588535305684053
ESCO2.rescaled	0.0008580923737666289
SEC14L4.rescaled	0.000857832992673893
FOXM1.rescaled	0.0008567653754028465
APOL4.rescaled	-0.000855032934708253
KBTBD4.rescaled	0.0008546147461689476
CAMK2D.rescaled	-0.0008535314271072311
ESR1.rescaled	0.0008516334171812375
PVALB.rescaled	-0.0008515062231586787
NDNF.rescaled	0.0008511946141709368
PP2D1.rescaled	0.0008495677099350082
TBX20.rescaled	0.0008492981993938168
CLGN.rescaled	0.000848906474955794
TFR2.rescaled	0.0008482698323783159
EREG.rescaled	0.0008479720660353777
MTRNR2L7.rescaled	-0.0008478539530024178
PLCL2.rescaled	-0.0008474551677227926
LGR4.rescaled	-0.0008473587527837176
KLRB1.rescaled	-0.0008461936187377489
HOXB3.rescaled	0.0008458670410203404
C20orf203.rescaled	0.0008443649272020246
SIM2.rescaled	0.0008437212424455397
CHI3L1.rescaled	0.000842679935859108
FABP6.rescaled	0.0008405869616278378
CREG2.rescaled	0.0008405500808248514
RASGEF1B.rescaled	0.0008393072256318263
CCL15.rescaled	0.0008392063406096926
ESPL1.rescaled	0.0008391961884057293
