	ALE Value
CBLN2.rescaled	1.0252189e-08
UCP1.rescaled	1.0227065e-08
ADCY1.rescaled	1.0222648e-08
PPP1R36.rescaled	1.0219476e-08
CD1B.rescaled	1.0213989e-08
IFIT1.rescaled	1.019863e-08
PCDHA6.rescaled	1.0180868e-08
UGT2B15.rescaled	1.0178717e-08
APOF.rescaled	1.017592e-08
C7orf57.rescaled	1.017418e-08
SVOPL.rescaled	1.0158962e-08
CAMP.rescaled	1.0157941e-08
RADIL.rescaled	1.0151668e-08
ASS1.rescaled	1.015018e-08
SIX1.rescaled	1.01396385e-08
TFDP3.rescaled	1.0136248e-08
PLA2G3.rescaled	1.0127796e-08
CCDC160.rescaled	1.0119172e-08
GALNT14.rescaled	1.0112772e-08
PPP1R42.rescaled	1.01012265e-08
APOLD1.rescaled	1.0073135e-08
IRX2.rescaled	1.0068323e-08
NDP.rescaled	1.0049688e-08
TOR1A.rescaled	1.00463e-08
SCNN1B.rescaled	1.00073905e-08
ROPN1L.rescaled	9.978728e-09
NRIP3.rescaled	9.969586e-09
UNC13A.rescaled	9.969084e-09
UGT2B28.rescaled	9.967728e-09
IGSF22.rescaled	9.967707e-09
TMEM215.rescaled	9.961105e-09
ACMSD.rescaled	9.956916e-09
FUT6.rescaled	9.95107e-09
HCN2.rescaled	9.944812e-09
PLIN1.rescaled	9.930813e-09
EI24.rescaled	9.926011e-09
AREG.rescaled	9.9253725e-09
SIM2.rescaled	9.894705e-09
NXPH1.rescaled	9.876696e-09
VSTM2L.rescaled	9.87299e-09
MEIG1.rescaled	9.852968e-09
CLIC6.rescaled	9.844055e-09
SLC13A2.rescaled	9.825591e-09
CNTN3.rescaled	9.820272e-09
MUC5B.rescaled	9.814331e-09
ORM2.rescaled	9.813939e-09
HPN.rescaled	9.8055635e-09
ITIH6.rescaled	9.76054e-09
RBM27.rescaled	9.691333e-09
MAPKAPK3.rescaled	9.688934e-09
KRT32.rescaled	9.687178e-09
CEACAM1.rescaled	9.682497e-09
HEPACAM2.rescaled	9.679227e-09
FAM169A.rescaled	9.676217e-09
SERPINA11.rescaled	9.66743e-09
WBP1.rescaled	9.663248e-09
AQP7.rescaled	9.655003e-09
STOX1.rescaled	9.642128e-09
EGF.rescaled	9.620212e-09
PALM3.rescaled	9.606581e-09
PCDH20.rescaled	9.601811e-09
PPP1R14C.rescaled	9.598086e-09
MAPK10.rescaled	9.597315e-09
EIF4E1B.rescaled	9.590285e-09
SPATA4.rescaled	9.589864e-09
FGFR4.rescaled	9.587707e-09
S100A7A.rescaled	9.575081e-09
BCAR3.rescaled	9.570062e-09
UGT2B10.rescaled	9.566503e-09
CCDC71.rescaled	9.546444e-09
ZACN.rescaled	9.544394e-09
LTF.rescaled	9.525178e-09
PANX2.rescaled	9.524906e-09
WNT4.rescaled	9.52005e-09
LRRN1.rescaled	9.5169845e-09
SLC24A5.rescaled	9.506965e-09
SREBF2.rescaled	9.503236e-09
IL20.rescaled	9.50123e-09
FBXO16.rescaled	9.4965555e-09
ZBTB16.rescaled	9.494931e-09
MAGEA3.rescaled	9.490766e-09
TIGD4.rescaled	9.478929e-09
P2RX2.rescaled	9.472395e-09
GYG2.rescaled	9.462476e-09
C14orf180.rescaled	9.459671e-09
SOX10.rescaled	9.455546e-09
NLRP5.rescaled	9.451462e-09
SLC8A2.rescaled	9.441971e-09
PLA2G2A.rescaled	9.422592e-09
GSTM1.rescaled	9.417141e-09
ADCY2.rescaled	9.412426e-09
ARTN.rescaled	9.408855e-09
IFIT2.rescaled	9.403754e-09
MORN5.rescaled	9.400485e-09
CCL11.rescaled	9.396159e-09
FAM167A.rescaled	9.39324e-09
OPRD1.rescaled	9.391733e-09
SLC24A2.rescaled	9.389035e-09
GABRB3.rescaled	9.3783745e-09
PRSS16.rescaled	9.361724e-09
CDHR3.rescaled	9.353017e-09
C3orf52.rescaled	9.351395e-09
PROM1.rescaled	9.348551e-09
PRTN3.rescaled	9.348268e-09
CACNG1.rescaled	9.346991e-09
CLGN.rescaled	9.332163e-09
DLX3.rescaled	9.299871e-09
EFNA3.rescaled	9.296475e-09
MESP2.rescaled	9.273375e-09
FZD3.rescaled	9.270255e-09
ENKUR.rescaled	9.25007e-09
RUNDC3A.rescaled	9.247774e-09
SLC6A17.rescaled	9.2420676e-09
MX1.rescaled	9.228757e-09
ESPNL.rescaled	9.221437e-09
SLC25A48.rescaled	9.214775e-09
ZDHHC15.rescaled	9.210989e-09
KRT23.rescaled	9.210796e-09
ELF5.rescaled	9.203489e-09
IGSF1.rescaled	9.201681e-09
CACNA1I.rescaled	9.189498e-09
