	ALE Value
SDR16C5.rescaled	8.330856e-09
SPAG6.rescaled	8.2709555e-09
GPSM2.rescaled	8.235432e-09
CDC6.rescaled	8.202558e-09
PNCK.rescaled	8.19257e-09
KLK7.rescaled	8.184834e-09
KHDC1.rescaled	8.126384e-09
SLC16A6.rescaled	8.063133e-09
CENPW.rescaled	8.051578e-09
SLC30A2.rescaled	8.042577e-09
ATP6V0A4.rescaled	8.03717e-09
BRCA1.rescaled	8.023802e-09
PRIM1.rescaled	8.0110905e-09
LMNB1.rescaled	7.997022e-09
APC.rescaled	7.984078e-09
GABRE.rescaled	7.926619e-09
POU5F1B.rescaled	7.896414e-09
KLHL21.rescaled	7.895789e-09
CENPN.rescaled	7.880617e-09
C2CD4C.rescaled	7.845299e-09
ANGEL2.rescaled	7.837758e-09
GYPE.rescaled	7.817536e-09
TPGS2.rescaled	7.814228e-09
TMEM31.rescaled	7.791768e-09
RASSF10.rescaled	7.781572e-09
SP5.rescaled	7.77848e-09
SLC39A1.rescaled	7.7691125e-09
EEF1A2.rescaled	7.760469e-09
VSIG2.rescaled	7.757202e-09
TARBP1.rescaled	7.744418e-09
HIGD2A.rescaled	7.743979e-09
CYFIP2.rescaled	7.736422e-09
CAPN8.rescaled	7.73519e-09
SMC2.rescaled	7.731994e-09
CENPK.rescaled	7.681704e-09
CSMD1.rescaled	7.664289e-09
SHROOM1.rescaled	7.661738e-09
AQP6.rescaled	7.633022e-09
LIN7A.rescaled	7.608029e-09
RPS6KA5.rescaled	7.600166e-09
CDK1.rescaled	7.573049e-09
PLEKHA3.rescaled	7.54114e-09
CAMK2B.rescaled	7.531156e-09
TMEM216.rescaled	7.5100095e-09
OTUD3.rescaled	7.445526e-09
PSEN2.rescaled	7.4225013e-09
ELOVL2.rescaled	7.415114e-09
GREB1L.rescaled	7.408719e-09
PPP1R8.rescaled	7.4061104e-09
SOX11.rescaled	7.4001703e-09
LRP2.rescaled	7.3954927e-09
UNC119B.rescaled	7.338577e-09
IGSF1.rescaled	7.3276922e-09
DDIT4.rescaled	7.325582e-09
NEK10.rescaled	7.3244864e-09
PRKAA2.rescaled	7.3229582e-09
RHCE.rescaled	7.313765e-09
UGT2B10.rescaled	7.3134525e-09
CDSN.rescaled	7.3066073e-09
PATE2.rescaled	7.304814e-09
PPP4R4.rescaled	7.294725e-09
STIL.rescaled	7.258958e-09
KIF18A.rescaled	7.247185e-09
GINS2.rescaled	7.2009985e-09
CHST6.rescaled	7.195767e-09
PLXNB3.rescaled	7.1631443e-09
HOXC11.rescaled	7.161407e-09
HSD11B1L.rescaled	7.1471424e-09
LRAT.rescaled	7.138311e-09
SYT3.rescaled	7.1349833e-09
MCM4.rescaled	7.0894153e-09
FANCC.rescaled	7.082045e-09
