	SHAP Value
ZNF280B.rescaled	0.0006589813958453733
FMO5.rescaled	-0.0006580523960668546
SLITRK6.rescaled	-0.0006560931360617557
LTA.rescaled	0.0006560191688532008
EGF.rescaled	-0.0006559403548440691
HERC5.rescaled	0.0006550648806803194
NPFFR1.rescaled	0.0006545849828595589
NPNT.rescaled	-0.0006545619548726307
LCP2.rescaled	0.0006533638718708395
IFIT3.rescaled	0.000653179433363037
NLRC5.rescaled	0.0006531343710852223
SLA2.rescaled	0.0006529834181114312
ATP1A4.rescaled	-0.0006513346247311677
ULBP2.rescaled	0.0006500936957542484
ISG15.rescaled	0.0006496522176026378
HMGA1.rescaled	0.0006491421789234747
ERBB4.rescaled	-0.0006483490310228377
TNFRSF9.rescaled	0.000648214777313806
IDO1.rescaled	0.0006482119195583893
RHBDF2.rescaled	0.0006467927024052654
FCGR1A.rescaled	0.0006458744961792275
CCR1.rescaled	0.0006448061820408187
FCGR1B.rescaled	0.0006447372414956328
SH2D1A.rescaled	0.0006447121280432248
GFRA1.rescaled	-0.0006425759911086158
DOK3.rescaled	0.0006422937059921629
FERMT3.rescaled	0.0006415271594471805
SLC7A7.rescaled	0.0006411816986725427
CD6.rescaled	0.0006408101101012633
UBD.rescaled	0.0006407036697003278
CLGN.rescaled	-0.0006395331483090386
CYP4B1.rescaled	-0.0006386543863034154
PLCH1.rescaled	0.0006375912678210495
CD96.rescaled	0.0006375240278357198
PIK3AP1.rescaled	0.0006372905808695516
CTLA4.rescaled	0.0006368322046339181
SIRPG.rescaled	0.0006365746239463196
TMEM26.rescaled	-0.0006365322057116503
C9orf152.rescaled	-0.000636503853838703
GPR132.rescaled	0.0006364536176984942
TAP1.rescaled	0.0006356093591492515
POLQ.rescaled	0.0006348378689962165
NPAS1.rescaled	-0.000634280620449353
GHRH.rescaled	-0.0006338774501807273
HPX.rescaled	-0.0006335957776609363
XAF1.rescaled	0.0006330736937282049
MARCO.rescaled	0.0006320897539720473
GRIK3.rescaled	-0.0006320357607035209
ENTPD5.rescaled	-0.0006318007654013606
IL21R.rescaled	0.000631573239671106
SYBU.rescaled	-0.0006310101596133217
SLC39A6.rescaled	-0.0006308438796807627
SH2D2A.rescaled	0.0006301794358850052
C1orf21.rescaled	-0.0006299081848736117
UBXN10.rescaled	-0.0006297315721064489
TBC1D10C.rescaled	0.0006288023520888744
TFF1.rescaled	-0.0006286081176826744
ELOVL2.rescaled	-0.0006283261439451334
SLAMF1.rescaled	0.0006282249602569155
MX2.rescaled	0.0006279520741818899
HPSE.rescaled	0.0006278041999089858
AR.rescaled	-0.0006271661845118084
SLC8A1.rescaled	0.0006264921672646798
NEK5.rescaled	-0.000626029811311412
CLEC7A.rescaled	0.0006257646323688758
LAT.rescaled	0.0006239433845953911
FCER1G.rescaled	0.0006234428705376903
INPP5J.rescaled	-0.0006231920923807023
GBP4.rescaled	0.0006231848948918303
